"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"CLDL","Direxion Daily Cloud Computing Bull 2X Shares","440619","36.95","57.532","73.0316","45.183","54.38187","36.188845","0.09182","44.1051","57.532","8.84","9.12","3.17",""
"JNUG","Direxion Daily Junior Gold Miners Index Bull 2X Shares","30566","-99.1","57.396","75.2742","47.779","49.13624","50","93.79921","65.92511","57.396","37.26","38.21","2.55",""
"UGE","ProShares Ultra Consumer Staples","109500","-0.25","57.343","75.6665","46.134","50.22715","100","100","37.20917","57.343","17.45","17.92","2.69",""
"KORU","Direxion MSCI Daily South Korea Bull 3X Shares","41959","100","57.28","71.0124","52.186","48.64252","50","7.64822","47.16224","57.28","7.91","8.08","2.15",""
"ERX","Direxion Daily Energy Bull 2X Shares","210759927","-96.7","57.212","70.2223","48.945","52.46908","39.840875","12.25981","59.40479","57.212","61.12","62.54","2.32",""
"LABU","Direxion Daily S&P Biotech Bull 3X Shares","166477","-63.35","57.124","73.0191","48.208","50.14634","66.21401","20.37272","51.61366","57.124","114.72","112.61","-1.84",""
"SHNY","MicroSectors Gold 3X Leveraged ETNs","304361","-64.7","57.075","76.7303","42.938","51.55789","50","77.97163","56.31239","57.075","34.17","33.94","-0.67",""
"CWEB","Direxion Daily CSI China Internet Index Bull 2x Shares","308940945","100","56.933","68.7137","55.614","46.47253","89.0338","98.2568","59.94756","56.933","34.81","33.5","-3.76",""
"MSOX","Advisor Shares MSOS 2x Daily ETF","48701","100","56.912","69.5023","56.621","44.61296","11.499595","0.33284","43.90982","56.912","2.88","2.91","1.04",""
"EZJ","ProShares Ultra MSCI Japan","266912","78.2","56.677","75.8943","40.515","53.62039","47.578125","0.1816","52.3704","56.677","38.1","37.21","-2.34",""
"GUSH","Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares","40392230","-49.45","56.34","68.6571","45.644","54.71791","38.798865","4.84624","58.80314","56.34","35.06","34.33","-2.08",""
"YINN","Direxion Daily FTSE China Bull 3X Shares","47679032","100","56.334","65.5509","55.77","47.67972","91.56116","99.67196","60.25051","56.334","23.4","23.85","1.92",""
"DIG","ProShares Ultra Energy","10415","-94.6","56.314","70.4555","47.114","51.37226","40.311155","12.80217","54.5839","56.314","39.94","40.59","1.63",""
"UTSL","Direxion Daily Utilities Bull 3X Shares","5730417","-179.3","56.294","70.9956","46.795","51.09239","88.597505","100","61.62142","56.294","26.45","25.83","-2.34",""
"NRGU","MicroSectors U.S. Big Oil Index 3X Leveraged ETN","25938404","-173.4","56.12","72.7146","45.922","49.72358","36.571095","0.46231","52.91368","56.12","453.99","465.64","2.57",""
"TARK","AXS 2X Innovation ETF Fund","198922","100","56.04","68.7339","51.127","48.25819","41.43911","0","51.11907","56.04","59.72","57.36","-3.95",""
"SAA","ProShares Ultra SmallCap 600","852890","100","55.593","71.4962","46.066","49.21803","84.75979","63.65882","57.30841","55.593","22.88","22.71","-0.74",""
"UBR","ProShares Ultra MSCI Brazil Capped","237251","-238.9","54.642","59.6002","55.75","48.57511","19.57386","0","44.06798","54.642","20.66","21.04","1.84",""
"TSLL","Direxion Daily TSLA Bull 2X Shares","623465","100","54.114","63.8067","50.636","47.89948","55.508925","39.26552","52.67558","54.114","8.27","7.97","-3.63",""
"DPST","Direxion Daily Regional Banks Bull 3X Shares","7935515","100","53.099","62.9857","49.036","47.2747","26.49209","35.77586","49.70105","53.099","58.02","60.96","5.07",""
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X Shares","213928","-87.4","52.455","59.3349","48.408","49.62109","50","0","45.45882","52.455","6.34","6.39","0.79",""
"IWML","ETRACS 2x Leveraged US Size Factor TR ETN","133465","100","52.435","74.4068","31.102","51.79712","74.50609","62.40532","58.27455","52.435","17.77","18.04","1.52",""
"TSL","GraniteShares 1.25x Long Tesla Daily ETF","678223","100","52.342","57.2686","52.489","47.2678","74.25798","69.97054","52.86234","52.342","7.22","7.11","-1.52",""
"BRZU","Direxion Daily MSCI Brazil Bull 2X Shares","15784","-256.55","52.019","59.8849","46.901","49.27223","18.44032","0","39.83562","52.019","62.5","64.34","2.94",""
"SMHB","ETRACS 2x Monthly Pay Leveraged US Small Cap High Dividend ETN Series B","19248","100","52.018","65.9343","45.483","44.6376","26.234595","24.13389","53.79282","52.018","5.57","5.61","0.72",""
"XPP","ProShares Ultra FTSE China 50","403728","51.25","51.841","65.5681","42.588","47.36733","91.750785","100","50.23708","51.841","15.35","15.45","0.65",""
"MEXX","Direxion Daily MSCI Mexico Bull 3X Shares","384227","-231.85","46.848","63.4274","25.194","51.92116","0","4.75015","38.02915","46.848","16.36","18.14","10.88",""
"CHAU","Direxion Daily CSI 300 China A Share Bull 2x Shares","177021","100","46.679","50.975","44.816","44.24637","67.750345","50.86905","57.09323","46.679","13.72","13.26","-3.35",""
"KLNE","Direxion Daily Global Clean Energy Bull 2X Shares ETF","89474","100","44.717","48.3135","41.663","44.17344","96.69256","98.62723","50.10155","44.717","7.34","6.69","-8.86",""
"EVAV","Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares","105479793","100","40.044","39.4617","38.779","41.89012","39.690065","0","42.61696","40.044","15.48","14.08","-9.04",""
