"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"TPOR","Direxion Daily Transportation Bull 3X Shares","684426","78.054","81.7401","100","60.003","51.77778","97.871545","100","57.11296",""
"TQQQ","ProShares UltraPro QQQ","3374712696","74.889","99.8","100","53.535","57.77778","78.57781","100","55.95152",""
"TSL","GraniteShares 1.25x Long Tesla Daily ETF","3685605","65.905","74.2505","100","57.638","50.66667","64.720995","90.23084","59.10912",""
"TSLL","Direxion Daily TSLA Bull 2X Shares","806263961","65.828","85.9907","100","57.064","51.11111","62.36464","82.28295","59.61958",""
"TSLQ","AXS TSLA Bear Daily ETF","106613205","-11.081","50.4758","-315.85","35.396","48","18.865465","0.08786","42.05356",""
"TSLS","Direxion Daily TSLA Bear 1X Shares","37415142","8.335","48.5888","-165.45","41.257","47.77778","28.262445","0.45222","42.24332",""
"TWM","ProShares UltraShort Russell2000","67101769","14.189","50.516","-140.95","51.955","47.55556","27.13458","0","44.51348",""
"TZA","Direxion Daily Small Cap Bear 3X Shares","347876841","2.115","51.8796","-218.85","49.953","47.77778","29.686275","0","43.41403",""
"UBOT","Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X","274871","70.099","83.9231","100","39.991","53.77778","77.324135","100","58.35593",""
"UBR","ProShares Ultra MSCI Brazil Capped","54599","45.814","62.0548","35.4","55.256","49.66592","15.400715","1.03288","48.08934",""
"UCC","ProShares Ultra Consumer Discretionary","151754","69.319","89.2776","100","57.056","54.78842","69.650575","100","44.81254",""
"UCYB","ProShares Ultra Nasdaq Cybersecurity ETF","52967","73.677","91.1213","100","48.649","56.40449","84.37295","100","50.81694",""
"UDOW","ProShares UltraPro Dow 30","202035848","72.663","90.8224","100","51.247","55.77778","77.634635","99.43045","56.09467",""
"UGE","ProShares Ultra Consumer Staples","233777","41.096","73.2017","3.15","53.318","50.44444","50","40.73128","66.82915",""
"UMDD","ProShares UltraPro MidCap 400","405400","71.751","81.2801","100","46.657","51.55556","81.02369","100","60.7199",""
"UPRO","ProShares UltraPro S&P500","335021942","78.864","99.581","100","50.627","55.55556","93.995945","100","58.29394",""
"UPV","ProShares Ultra FTSE Europe","37682","43.988","72.5165","38.15","49.843","50.90498","28.773195","21.00362","33.04296",""
"UPW","ProShares Ultra Utilities","682926","47.143","74.5771","-6.85","52.339","53.55556","50.455285","95.59376","59.87245",""
