"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"GUSH","Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares","84647","95.2","53.381","63.1383","43.479","53.52451","0","0","47.1957","53.381","27.13","29.46","8.59",""
"SDD","ProShares UltraShort SmallCap600","278438765","-112.8","53.328","54.1545","56.396","49.4343","43.86543","2.54654","60.72982","53.328","16.32","15.71","-3.74",""
"XPP","ProShares Ultra FTSE China 50","296850","84.35","53.294","66.8434","44.474","48.56566","41.54198","17.01541","33.58191","53.294","14.49","15.72","8.49",""
"HIBS","Direxion Daily S&P 500 High Beta Bear 3X Shares","299874762","-252.7","52.332","52.7157","55.635","48.64646","50","33.61738","51.04508","52.332","22.52","20.36","-9.59",""
"EMTY","ProShares Decline of the Retail Store ETF","748065","-47.3","52.169","59.4321","48.885","48.19118","70.53749","59.91444","41.04234","52.169","13.65","13.55","-0.73",""
"FXP","ProShares UltraShort FTSE China 50","422336569","-83.6","51.995","62.2525","43.831","49.90293","41.23916","62.74268","53.9987","51.995","30.88","28.36","-8.16",""
"BZQ","ProShares UltraShort MSCI Brazil Capped","1025969","-59.8","51.99","65.1423","42.726","48.10052","13.46605","0","50.9566","51.99","12.38","13.16","6.3",""
"SOXS","Direxion Daily Semiconductor Bear 3x Shares","50178","-420.65","51.937","51.0925","57.698","47.02045","50","58.68911","47.8483","51.937","24.27","22.7","-6.47",""
"YANG","Direxion Daily FTSE China Bear 3X Shares","583947","-128.05","51.92","63.1783","42.617","49.96403","42.72401","57.28693","54.02777","51.92","8.66","7.59","-12.36",""
"TSLQ","AXS TSLA Bear Daily ETF","55950","-304.95","51.688","58.968","48.312","47.7832","50","16.79783","40.96295","51.688","24.63","22.4","-9.05",""
"UVXY","ProShares UltraVIXShort-Term FuturesETF","135654","-520.1","51.601","52.5945","65.459","36.74994","50","39.14864","51.09517","51.601","24.66","23.52","-4.62",""
"YXI","ProShares Short FTSE China 50","254731","-40.3","50.506","62.8796","38.813","49.82508","57.414595","71.93169","58.9274","50.506","17.48","16.73","-4.29",""
"TSLS","Direxion Daily TSLA Bear 1X Shares","51689","-151.45","50.5","56.7096","47.158","47.63341","50","0","40.88052","50.5","16.7","15.99","-4.25",""
"DWSH","AdvisorShares Dorsey Wright Short ETF","3741486593","-41.85","50.326","55.6618","48.315","47.00172","50","58.21744","49.6444","50.326","7.38","7.24","-1.9",""
"HDGE","AdvisorShares Ranger Equity Bear ETF","1699711571","-59.45","50.164","53.3346","50.169","46.98694","43.478185","5.99113","43.95114","50.164","19.44","19","-2.26",""
"TWM","ProShares UltraShort Russell2000","82920596","-121","50.144","52.106","51.988","46.33851","45.75964","2.60041","45.62025","50.144","9.64","9.3","-3.53",""
"SRTY","ProShares UltraPro Short Russell2000","3331692","-181.55","50.143","52.1013","51.241","47.08549","43.690335","0","44.79931","50.143","21.56","20.39","-5.43",""
"TZA","Direxion Daily Small Cap Bear 3X Shares","669499659","-181.05","50.091","52.695","50.695","46.8815","43.66662","0.23939","45.28446","50.091","14.4","13.62","-5.42",""
"JDST","Direxion Daily Junior Gold Miners Index Bear 2X Shares","393873029","-153.85","50.034","49.5356","50.589","49.97684","26.08343","6.89917","49.65586","50.034","26.85","26.09","-2.83",""
"RWM","ProShares Short Russell2000","289230405","-60.6","49.994","52.4009","50.092","47.48854","50","6.98573","46.34831","49.994","19.52","19.18","-1.74",""
"UVIX","2x LongVIXFuturesETF","1668914587","-699.15","49.762","50.8715","62.121","36.29465","38.11716","7.02946","47.73655","49.762","4.68","4.36","-6.84",""
"JETD","MAX Airlines -3X Inverse Leveraged ETNs","40293501","-144.5","49.716","58.6199","44.662","45.86698","50","42.97438","46.49285","49.716","19.71","19.85","0.71",""
"LABD","Direxion Daily S&P Biotech Bear 3x Shares","1918863","-144","49.617","52.1305","49.253","47.46785","29.11212","0","41.71091","49.617","5.42","5.43","0.18",""
"MYY","ProShares Short S&P Mid Cap400","255689497","-50.5","49.276","48.9497","53.866","45.01306","47.712285","18.30792","35.96066","49.276","19.88","19.5","-1.91",""
"SMDD","ProShares UltraPro Short MidCap400","135872322","-151.05","49.148","49.2602","52.446","45.73818","37.82984","8.5332","46.55031","49.148","10","9.41","-5.9",""
"EEV","ProShares UltraShort MSCI Emerging Markets","152990603","-93.55","48.864","54.1762","49.439","42.9761","44.294085","35.72499","46.35103","48.864","17.48","16.81","-3.83",""
"NVDD","Direxion Daily NVDA Bear 1X Shares","37538","-169.1","48.755","45.1811","54.848","46.23714","43.80864","26.02506","52.57486","48.755","7.72","7.76","0.52",""
"SZK","ProShares UltraShort Consumer Staples","3527681","-12.15","48.571","44.7299","54.498","46.48453","0","0","53.06559","48.571","11.34","11.78","3.88",""
"EDZ","Direxion Daily MSCI Emerging Markets Bear 3X Shares","149087203","-139.25","48.509","55.6041","45.743","44.18133","42.40166","32.0292","51.41978","48.509","9.08","8.62","-5.07",""
"TECS","Direxion Daily Technology Bear 3X Shares","116045960","-274.4","48.319","46.506","56.949","41.50185","50","45.06139","43.12386","48.319","5.95","5.66","-4.87",""
"EVAV","Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares","896534253","100","48.091","52.3699","47.268","44.63464","30.529275","4.00832","56.47931","48.091","16.88","16.72","-0.95",""
"GDXD","MicroSectors Gold Miners -3X Inverse Leveraged ETNs","691861","-192.7","48.061","47.6744","49.808","46.70116","26.46648","0","48.69925","48.061","12.94","12.38","-4.33",""
"GGLS","Direxion Daily GOOGL Bear 1X Shares ETF","4162552653","-65.75","47.992","48.9217","53.186","41.86943","100","100","53.47009","47.992","14.98","14.43","-3.67",""
"SSG","Proshares Ultrashort Semiconductors","4168851","-312.7","47.656","42.3177","54.887","45.763","50","31.96119","52.69665","47.656","7.16","7.17","0.14",""
"MZZ","ProShares UltraShort MidCap400","486683330","-99.1","47.317","49.5563","47.103","45.29176","43.075745","12.75995","43.21305","47.317","10.47","10.18","-2.77",""
"DUST","Direxion Daily Gold Miners Index Bear 2x Shares","102408174","-118.1","47.225","48.2772","46.5","46.89924","30.88469","0","43.31527","47.225","5.37","5.24","-2.42",""
"SMN","ProShares UltraShort Materials","46762627","-79.8","47.11","49.709","48.658","42.96231","13.03154","8.70455","46.09673","47.11","7","6.88","-1.71",""
"MEXX","Direxion Daily MSCI Mexico Bull 3X Shares","58758678","100","46.875","58.0177","30.882","51.72407","28.38947","0","41.66988","46.875","14.12","14","-0.85",""
"REW","ProShares UltraShort Technology","411435133","-188.2","46.56","46.236","51.63","41.81424","50","57.94197","48.11022","46.56","11.9","11.48","-3.53",""
