[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
MAGADSUGAR.NS	-3.65	30.2	34.62	36.87	36.36	5	0.53	22.07	0.974	63.276
MAHLIFE.NS	1.035	77.003	35.26	49.43	41.06	5	0.07	31.13	0.949	31.336
MAITHANALL.NS	0.141	66.638	39.56	34.13	43.34	5	0.29	28.1	0.979	61.513
MANGLMCEM.NS	-1.988	41.94	51.19	38.0	41.72	5	-0.09	39.44	1.008	73.043
MANINDS.NS	3.663	99.8	72.43	78.1	74.15	0	0.92	85.62	1.04	78.086
MANUGRAPH.NS	0.328	68.802	25.11	28.37	37.9	0	-0.47	8.49	0.971	23.866
MARATHON.NS	4.04	99.8	44.64	43.32	45.03	0	0.75	30.27	0.953	56.295
MASFIN.NS	1.339	80.532	42.17	45.84	43.81	5	1.44	39.31	0.96	40.379
MASTEK.NS	1.457	81.898	41.6	56.62	47.05	5	0.96	31.47	0.975	44.508
MAYURUNIQ.NS	0.767	73.893	61.76	54.62	51.5	5	0.08	61.69	1.005	73.863
MAZDA.NS	0.735	73.524	45.71	53.62	51.63	5	0.87	49.1	0.984	35.779
MBLINFRA.NS	-0.524	58.927	38.69	50.63	41.71	5	1.65	36.04	0.977	49.548
MGL.NS	0.369	69.284	37.64	53.27	44.73	5	1.61	21.98	0.976	47.353
MOLDTKPAC.NS	3.583	99.8	75.3	90.12	76.92	5	0.22	95.39	1.062	75.429
MONTECARLO.NS	-0.638	57.595	36.22	25.23	34.21	5	0.89	23.55	0.987	58.078
MOTILALOFS.NS	3.095	99.8	65.32	64.11	60.5	5	1.0	60.13	1.024	84.232
MPHASIS.NS	2.193	90.443	58.21	71.3	60.43	5	1.21	43.2	1.023	71.483
MPSLTD.NS	-0.566	58.432	44.16	35.11	41.55	5	0.32	25.44	0.961	68.446
MRF.NS	1.133	78.137	49.85	52.63	55.83	5	0.44	57.05	1.001	56.496
MSPL.NS	1.72	84.947	49.7	52.01	53.98	0	1.48	50.36	0.973	56.03
MUTHOOTFIN.NS	7.849	99.8	36.2	44.9	43.2	5	0.39	17.69	0.984	45.008
NAHARCAP.NS	0.568	71.587	33.45	46.85	48.92	5	1.21	21.02	0.984	51.933
