"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"TPLPLASTEH.NS","TPL Plastech Limited","145177886","78.5","72.994","99.8","72.903","46.28036","91.0857","100","60.24886","72.994","116.25","112.18","-3.5",""
"KSL.NS","Kalyani Steels Limited","14950990","36.8","72.936","90.3309","79.539","48.93915","17.5452","1.76798","57.16973","72.936","777","750.9","-3.36",""
"ALEMBICLTD.NS","ALEMBIC LTD","1929523349","54.25","72.926","99.8","69.632","49.34614","71.427565","100","74.7083","72.926","160.15","158.52","-1.02",""
"VOLTAMP.NS","Voltamp Transformers Limited","1382017210","54.9","72.794","99.8","68.658","49.92363","100","100","57.23777","72.794","14249.9","13779.55","-3.3",""
"MANINDS.NS","Man Industries (India) Ltd","458979189","99.6","72.791","99.8","70.321","48.25326","50","72.90472","64.11967","72.791","420.05","392.9","-6.46",""
"SWELECTES.NS","SWELECT ENERGY SYS","59445469","100","72.76","98.1868","71.975","48.11924","9.163305","5.5722","64.87265","72.76","1015.3","1231.25","21.27",""
"TDPOWERSYS.NS","TD Power Systems Limited","160763882","41.2","72.736","95.5311","70.507","52.17049","50","100","61.95596","72.736","427","430.55","0.83",""
"BDL.NS","BHARAT DYNAMICS LT","137605140","64.15","72.732","94.4512","69.489","54.25573","44.3827","3.74985","69.92744","72.732","1304.3","1289.7","-1.12",""
"EIMCOELECO.NS","Eimco Elecon (India) Limited","15371504","61.45","72.73","99.8","66.959","51.43139","63.211095","100","59.96066","72.73","3099.05","3056.8","-1.36",""
"GICRE.NS","GENERAL INSURANCE","16926129","100","72.69","89.5258","77.426","51.11801","50","94.32672","69.0152","72.69","411.9","383.45","-6.91",""
"SOTL.NS","Savita Oil Technologies Ltd","2812366790","49.6","72.642","91.1457","76.669","50.11185","58.545065","99.71598","62.77454","72.642","612.75","584.7","-4.58",""
"MARATHON.NS","Marathon Nextgen Realty Ltd","62492849","28.2","72.581","96.5923","72.916","48.23454","50","100","67.1923","72.581","584.5","610.55","4.46",""
"LGBBROSLTD.NS","L.G. Balakrishnan & Bros Limited","15172211","54.45","72.547","90.5192","76.722","50.39862","50","68.46055","66.87178","72.547","1430","1413.6","-1.15",""
"INDUSTOWER.NS","INDUS TOWERS LIMITED","13869148","69.65","72.483","99.122","66.062","52.26627","84.934675","100","47.03457","72.483","460","423.1","-8.02",""
"WELENT.NS","Welspun Enterprises Limited","54755723","65.35","72.465","99.8","62.018","55.57822","78.434035","100","67.89926","72.465","590.65","545.3","-7.68",""
"HITECH.NS","Hi-Tech Pipes Limited","24097885","77.35","72.441","99.7379","67.404","50.18182","100","100","78.96885","72.441","195","189.78","-2.68",""
"ADFFOODS.NS","ADF Foods Limited","250352204","33.65","72.402","90.6096","82.846","43.75166","72.4642","90.92532","73.25936","72.402","272","264.35","-2.81",""
"WELINV.NS","WELSPUN INVESTMENT","958888141","35.05","72.4","99.8","68.617","48.78443","100","100","64.22773","72.4","1077","1035.05","-3.9",""
"AURIONPRO.NS","Aurionpro Solutions Limited","522068660","30.7","72.387","99.8","65.276","52.08475","63.06149","100","63.57112","72.387","1962","1896.75","-3.33",""
"IFCI.NS","IFCI Ltd","28236424","77.15","72.365","99.8","70.337","46.95935","71.381705","100","65.95243","72.365","74.99","70.83","-5.55",""
"KESORAMIND.NS","Kesoram Industries Ltd","337111785","54.75","72.341","99.8","62.783","54.441","50","99.76069","63.16526","72.341","207","211.77","2.3",""
"JBCHEPHARM.NS","J. B. Chemicals & Pharmaceuticals Limited","5685548","12.9","72.267","97.1146","67.771","51.91525","100","100","55.6692","72.267","1934.05","1928.4","-0.29",""
"BANCOINDIA.NS","Banco Products (India) Ltd","5614336","100","72.236","96.7688","72.347","47.593","50.63281","96.93383","70.79464","72.236","682.5","680.65","-0.27",""
"BBL.NS","Bharat Bijlee Limited","6948863","55.6","72.183","99.8","63.263","53.48509","50","96.34866","67.65369","72.183","5385","4998.75","-7.17",""
"RADICO.NS","RADICO KHAITAN","315422595","16.45","72.109","99.8","68.874","47.65213","70.302865","87.90321","71.50715","72.109","1818.5","1998.9","9.92",""
"HARRMALAYA.NS","HARRISONS MALAYALA","937454697","100","72.097","89.5152","80.363","46.41143","55.930935","100","74.77114","72.097","227.35","240.61","5.83",""
"INSECTICID.NS","INSECTICIDES INDIA","105247802","12.45","72.06","96.7667","68.943","50.47056","65.2588","100","72.64312","72.06","938.8","947.2","0.89",""
"GRPLTD.NS","GRP Limited","361933516","-2.8","72.037","99.8","65.245","51.06677","50","98.48917","68.91363","72.037","3320","3469.15","4.49",""
"EIDPARRY.NS","E.I.D.- Parry (India) Limited","22395125","47.5","71.969","95.8775","67.884","52.14585","50","100","74.79693","71.969","837.7","844.95","0.87",""
"INDIAGLYCO.NS","India Glycols Limited","34445776","51","71.882","99.8","67.573","48.27199","100","100","76.76644","71.882","1395","1290.8","-7.47",""
"QUESS.NS","Quess Corp Limited","208861131","69.9","71.864","99.8","63.588","52.20399","100","100","79.26575","71.864","786.3","799.7","1.7",""
"INTELLECT.NS","INTELLECT DESIGN A","2709229491","43.65","71.845","86.4365","76.785","52.31239","32.48071","0","59.67018","71.845","995","996.3","0.13",""
"PLASTIBLEN.NS","Plastiblends India Limited","236792011","40.45","71.827","92.2621","74.213","49.00714","73.739475","100","75.52358","71.827","372","340","-8.6",""
"ECLERX.NS","eClerx Services Limited","274589578","22.95","71.817","97.1993","69.736","48.51441","75.84634","99.95906","58.95104","71.817","2944","2832.6","-3.78",""
"COROMANDEL.NS","Coromandel International Limited","273301035","36.55","71.805","98.9675","61.089","55.35945","50","100","68.06894","71.805","1758.25","1691.15","-3.82",""
