"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"DEEPAKNTR.NS","Deepak Nitrite Limited","723416055","55.503","83.0127","57.75","63.231","53.33333","20.425155","4.34337","67.70296",""
"DELTACORP.NS","Delta Corp Ltd","262831528","46.198","55.0463","48.65","42.193","47.77778","13.495455","0","56.71286",""
"DENORA.NS","De Nora India Limited","11294608","54.324","82.7889","45.15","73.02","42.22222","14.689845","0","66.46335",""
"DHAMPURSUG.NS","Dhampur Sugar Mills Ltd","112016289","45.626","61.2946","49.25","59.396","47.55556","37.938415","21.07206","56.68776",""
"DHANUKA.NS","Dhanuka Agritech Limited","67413555","54.443","98.7087","43.25","63.382","52.44444","21.011805","0.93388","64.40389",""
"DHUNINV.NS","DHUNSERI INVESTMEN","29067581","66.12","99.8","40.6","79.592","48.88889","58.29084","99.31547","78.06288",""
"DICIND.NS","DIC India Limited","1886407","72.95","98.4218","100","79.576","52","50","98.03232","82.62052",""
"DLF.NS","DLF Ltd","2960699731","59.217","97.0762","100","55.22","56.22222","40.656505","36.40672","50.90557",""
"DOLLAR.NS","Dollar Industries Limited","57061491","55.719","79.2644","42.05","62.093","48","67.395675","67.86233","55.97018",""
"DPWIRES.NS","D P Wires Limited","18606341","42.536","76.3257","38.3","60.054","48","50","23.0426","52.03112",""
"DTIL.NS","DHUNSERI TEA & IND","18446786","47.409","74.5695","-47.45","81.574","49.55556","50","99.94257","73.67264",""
"DVL.NS","Dhunseri Ventures Limited","57063934","59.527","92.5664","71.3","78.512","47.33333","50","59.46309","67.5158",""
"DYNPRO.NS","Dynemic Products Limited","8453409","61.619","84.9671","30.05","65.18","44.88889","68.902365","95.89497","72.54949",""
"ECLERX.NS","eClerx Services Limited","615337480","65.465","99.8","40.1","76.845","49.77778","57.122455","98.48049","79.00844",""
"EDELWEISS.NS","Edelweiss Financial Services Ltd","808415169","68.703","99.8","100","76.287","47.33333","50","88.74182","68.75824",""
"EIDPARRY.NS","E.I.D.- Parry (India) Limited","307127680","55.782","86.5254","44.85","67.143","49.55556","35.68762","54.35838","59.4172",""
"EIMCOELECO.NS","Eimco Elecon (India) Limited","20445483","51.289","99.8","23.9","69.437","49.11111","26.115325","17.87627","51.12712",""
"EKC.NS","Everest Kanto Cylinder Ltd","242014932","65.669","91.4519","100","75.821","48.44444","50","78.49511","65.47035",""
"ELGIRUBCO.NS","Elgi Rubber Co Ltd","11781633","54.908","99.8","11.25","78.399","46.65179","50","74.20095","74.05185",""
"EMKAY.NS","Emkay Global Financial Services Ltd","6006093","69.256","99.8","-14.7","80.003","49.66592","100","100","70.02383",""
"ENERGYDEV.NS","Energy Development Co Ltd","1365297","49.869","82.4079","43.6","63.326","41.55556","21.046565","0.59218","59.69717",""
"ERIS.NS","Eris Lifesciences Limited","360750647","44.467","99.8","-28.5","49.116","54.22222","50","81.9446","54.68767",""
"ESCORTS.NS","ESCORTS KUBOTA LTD","1225470204","53.824","94.5258","64.9","63.449","52","43.79672","35.67001","53.81488",""
"ESTER.NS","Ester Industries Limited","110799826","53.589","76.6268","41.65","74.714","44.66667","50","61.71999","75.74508",""
"EVEREADY.NS","Eveready Industries India Limited","101712620","52.976","71.1033","68.9","77.402","44.22222","38.645785","13.56061","72.93622",""
"EVERESTIND.NS","Everest Industries Limited","19393567","50.337","80.8836","-0.85","70.493","44","0","8.20401","49.62803",""
"EXPLEOSOL.NS","EXPLEO SOLUTIONS","17498415","49.779","67.9075","30.8","48.939","45.55556","0.44422","1.44562","54.69106",""
"FDC.NS","FDC LTD","513149987","59.104","99.2964","58.9","79.613","47.55556","50","49.07891","79.28239",""
"FEDERALBNK.NS","The Federal Bank Ltd","2301998637","53.327","86.5888","36.95","45.478","52.88889","63.09789","62.48503","62.70152",""
"FIEMIND.NS","FIEM INDUSTRIES LT","130798434","59.806","99.8","50.75","65.498","49.77778","50","86.63755","66.17995",""
"FINCABLES.NS","Finolex Cables Limited","350486343","62.775","99.8","78.4","77.768","50","11.14081","0","55.73599",""
"FINPIPE.NS","Finolex Industries Limited","435742061","54.905","89.2305","22.75","74.551","47.33333","25.96604","37.7308","64.67445",""
"FLUOROCHEM.NS","Gujarat Fluorochem Ltd","1548948379","71.778","85.081","59.95","69.057","49.55556","82.28936","100","74.22445",""
"FORCEMOT.NS","Force Motors Limited","377246506","54","99.8","44.8","76.76","47.0024","27.8314","4.57517","60.72601",""
