[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
600876.SS	2.178	90.259	43.48	43.16	44.36	0	1.38	35.01	0.99	51.882
600885.SS	0.424	69.917	55.57	60.07	49.2	5	1.23	64.87	0.998	57.918
600887.SS	-2.082	40.853	28.75	48.22	33.71	5	0.44	36.09	0.983	31.663
600908.SS	1.378	80.984	32.31	38.52	40.23	5	1.08	23.95	0.988	36.845
600926.SS	0.544	71.306	30.75	43.88	44.08	5	0.66	22.28	0.99	31.579
600933.SS	1.546	82.931	76.7	82.13	72.59	5	1.21	92.89	1.042	80.888
600966.SS	3.094	99.8	54.66	84.13	63.84	0	1.38	74.49	1.014	42.28
600967.SS	3.81	99.8	75.06	89.03	80.81	0	1.71	81.42	1.074	65.187
600970.SS	1.108	77.852	54.83	60.51	47.39	0	1.42	56.52	0.98	57.107
600971.SS	1.301	80.096	55.04	70.43	56.83	5	1.22	59.52	0.984	62.796
600975.SS	1.978	87.949	48.51	64.41	53.03	0	0.58	56.2	0.983	40.93
600976.SS	0.89	75.322	62.52	68.79	59.0	5	0.82	77.94	1.011	60.464
600982.SS	0.568	71.592	48.24	55.43	48.36	0	1.39	53.01	0.991	40.473
600985.SS	1.372	80.916	61.83	77.85	65.71	5	1.27	67.03	0.985	70.582
600989.SS	-0.456	59.707	45.46	47.56	40.82	5	0.97	47.78	0.986	58.705
600993.SS	-0.526	58.899	42.35	45.53	45.44	5	0.83	57.76	0.997	41.356
600997.SS	1.431	81.594	55.1	70.09	55.71	0	1.22	59.26	0.983	64.663
600998.SS	1.853	86.491	58.19	62.04	55.9	5	1.23	60.54	1.0	65.097
600999.SS	7.125	99.8	58.82	80.95	64.93	5	1.09	70.61	1.004	53.16
601001.SS	4.154	99.8	66.9	87.5	72.19	0	1.41	71.28	1.0	67.13
601003.SS	3.163	99.8	63.19	76.12	69.5	0	1.35	61.27	0.925	67.134
601007.SS	0.656	72.608	43.96	45.06	48.81	0	1.43	51.91	0.994	40.331
601008.SS	-0.796	55.77	29.73	20.49	29.3	0	-0.31	24.17	0.983	45.708
601011.SS	2.705	96.379	52.89	68.53	53.17	0	1.39	56.41	0.972	58.775
601012.SS	3.764	99.8	65.06	74.33	60.03	0	1.45	63.74	1.001	67.621
601015.SS	1.717	84.917	59.1	75.59	66.9	0	1.39	60.63	0.967	64.302
601018.SS	0.84	74.749	49.06	64.9	52.49	5	1.19	54.64	0.994	56.922
601038.SS	1.329	80.414	50.2	63.17	48.63	5	1.49	56.15	0.988	47.393
601058.SS	1.311	80.211	38.31	65.66	48.71	0	1.07	21.08	0.983	41.144
601088.SS	0.247	67.863	46.7	57.75	49.19	5	0.61	46.83	0.982	50.775
601100.SS	2.319	91.902	51.33	68.91	52.15	5	1.35	57.63	0.981	58.735
601101.SS	2.021	88.447	64.6	75.79	61.82	0	1.29	67.14	0.989	69.936
601116.SS	1.772	85.559	55.61	64.73	51.4	0	1.51	60.1	0.992	57.375
601117.SS	1.461	81.947	66.78	83.78	68.35	5	1.04	82.07	1.019	65.365
601118.SS	1.224	79.193	51.5	65.22	50.21	0	1.42	57.27	0.976	41.8
601139.SS	3.339	99.8	54.08	65.18	50.74	0	0.93	65.53	0.997	46.114
601163.SS	2.926	98.942	51.68	64.69	47.85	5	1.27	63.61	0.994	52.161
601166.SS	1.02	76.837	32.54	40.65	38.33	5	0.66	19.06	0.975	34.858
601168.SS	2.414	93.002	62.79	67.18	58.9	5	1.21	63.14	0.999	62.902
601169.SS	1.431	81.601	29.6	43.35	45.82	5	0.77	18.72	0.979	29.639
601188.SS	1.023	76.863	39.41	60.6	45.47	0	1.32	43.91	0.982	50.971
601208.SS	9.662	99.8	73.66	89.1	73.93	5	1.27	74.86	1.089	63.707
601222.SS	1.546	82.935	47.97	42.77	40.11	5	1.26	45.07	0.993	47.672
