"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"603068.SS","BEKEN CORPORATION","138160686","68.163","70.0248","44.25","54.97","49.88864","100","98.38718","59.61969",""
"603096.SS","THINKINGDOM MEDIA GROUP LTD","28677083","67.809","67.5622","60.1","59.523","48.1069","96.342975","94.56111","52.12393",""
"603100.SS","Chongqing Chuanyi Automation Co., Ltd","134789727","70.567","68.1552","64.5","56.869","44.32071","100","97.63252","62.49394",""
"603113.SS","Jinneng Science & Technology Co., Ltd","54866692","65.845","52.1974","70.7","49.745","41.64811","100","95.5057","51.11751",""
"603128.SS","CTS International Logistics Corporation Limited","136425532","63.387","46.2585","50.25","48.739","46.32517","100","97.37927","54.75469",""
"603129.SS","ZHEJIANG CF MOTO POWER CO LTD","316892357","66.825","81.0734","28.45","56.246","48.99777","100","100","53.00819",""
"603185.SS","HOYUAN GREEN ENERGY CO LTD","471342732","64.634","30.2","63.25","56.892","40.97996","100","92.5429","68.57189",""
"603187.SS","Qingdao Hiron Commercial Cold Chain Co., Ltd","68806356","58.653","41.6608","65.75","48.658","44.98886","86.379845","86.01631","50.73816",""
"603195.SS","GONEO GROUP CO LTD","272852997","62.753","61.8664","45.15","53.093","46.99332","90.866225","94.89423","55.54215",""
"603197.SS","SHANGHAI BAOLONG AUTOMOTIVE COR","212768235","68.573","66.8693","56.65","54.57","43.87528","100","100","58.04396",""
"603198.SS","Anhui Yingjia Distillery Co., Ltd","416084562","72.618","72.1389","72.75","58.832","44.098","100","99.698","60.80816",""
"603203.SS","Quick Intelligent Equipment Co.,Ltd","92229375","62.011","64.8361","58.85","61.407","43.65256","82.49052","88.79449","51.55578",""
"603218.SS","Riyue Heavy Industry Co., Ltd","240926570","67.939","51.3386","57.7","57.878","44.76615","100","100","63.88872",""
"603225.SS","Xinfengming Group Co., Ltd","163742716","42.51","72.49","53.2","52.291","47.43875","50","28.17537","43.97674",""
