"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"600690.SS","Haier Smart Home Co., Ltd","81672294","59.35","55.959","67.4818","54.323","46.07176","17.33392","0","45.644","55.959","25.48","24.24","-4.87",""
"600908.SS","Wuxi Rural Commercial Bank Co.,Ltd","62825715","42.85","55.914","64.1372","57.674","45.9322","30.040085","0.15055","56.28835","55.914","5.06","5.18","2.37",""
"603096.SS","THINKINGDOM MEDIA GROUP LTD","218370883","70.5","55.755","60.5689","59.884","46.81119","15.05943","0","45.44237","55.755","15.68","16.05","2.36",""
"600522.SS","Jiangsu Zhongtian Technology Co., Ltd","66598983","51.65","55.649","61.6628","58.957","46.32814","35.50614","26.79469","54.32479","55.649","13.75","13.33","-3.05",""
"603323.SS","Jiangsu Suzhou Rural Commercial Bank Co., Ltd","37909282","40.3","55.6","67.6697","55.051","44.07919","36.01478","0","58.35086","55.6","4.55","4.64","1.98",""
"600531.SS","Henan Yuguang Gold&Lead Co., Ltd","165680129","100","55.599","63.8167","55.726","47.25563","2.592335","0","51.36683","55.599","5.49","5.52","0.55",""
"603986.SS","GIGADEVICE SEMICONDUCTOR INC","420770531","99.1","55.469","60.3109","58.457","47.63771","50","47.88908","58.12446","55.469","77.77","78.9","1.45",""
"603992.SS","Xiamen Solex High-tech Industries Co., Ltd","286743170","73.75","55.398","68.8512","50.448","46.89532","20.678045","10.08886","48.50853","55.398","16.2","16.26","0.37",""
"601808.SS","China Oilfield Services Limited","305774460","79.5","55.355","61.6709","58.235","46.15986","12.41903","0","42.44347","55.355","14.7","14.44","-1.77",""
"603225.SS","Xinfengming Group Co., Ltd","85624396","78.8","55.328","64.4532","55.049","46.48057","3.67163","3.64645","47.98995","55.328","12.46","11.46","-8.03",""
"600276.SS","JIANGSU HENGRUI PHARMACEUTICALS","58744307","36.55","55.282","67.8316","50.706","47.30809","50.174835","30.97031","46.95066","55.282","42.22","43.12","2.13",""
"601618.SS","Metallurgical Corporation of China Ltd","529487079","44.5","55.236","61.4504","59.982","44.27617","50","10.60981","54.15486","55.236","3.17","3.23","1.89",""
"600081.SS","Dongfeng Electronic Technology Co Ltd","12011117","86.3","55.108","60.0982","58.535","46.69026","35.12099","3.10546","43.20036","55.108","8.61","8.69","0.93",""
"600019.SS","Baoshan Iron & Steel Co., Ltd","1134359409","26.95","54.73","65.2725","54.729","44.18708","28.597855","18.95792","50.0238","54.73","6.35","6.1","-3.94",""
