"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"CHEWA.BK","CHEWATHAI PCL","2217535","11.05","60.48","64.2375","86.074","31.1277","100","100","74.3769","60.48","0.48","0.48","0",""
"YUASA.BK","Yuasa Battery (Thailand) PCL","672165","-19.1","60.474","61.742","86.814","32.86667","89.393595","96.42953","36.43599","60.474","11.3","11.3","0",""
"ACG.BK","AUTOCORP HOLDING PCL","161634","49.2","60.454","65.687","74.861","40.81319","67.728625","67.57302","64.71634","60.454","1.07","1.13","5.61",""
"CI.BK","Charn Issara Development PCL","106928751","19.1","60.453","66.7866","81.836","32.73502","70.14644","100","80.79765","60.453","0.58","0.58","0",""
"MNIT.BK","MFC-NICHADA THANI PROPERTY FUND","13778347","2.5","60.399","73.822","67.44","39.93426","82.393955","90.67875","19.76983","60.399","2.24","2.24","0",""
"TTB.BK","TMBTHANACHART BANK PCL","148123451","11.4","60.39","77.6833","63.601","39.88489","100","100","59.81515","60.39","1.88","1.87","-0.53",""
"GIFT.BK","Gratitude Infinite PCL","657555284","36.55","60.215","70.7645","70.507","39.3735","15.51263","5.64158","40.18549","60.215","3.4","3.72","9.41",""
"CPH.BK","Castle Peak Holdings PCL","10696490","-67.7","60.198","65.7241","79.686","35.18355","100","100","71.38373","60.198","15","14.7","-2",""
"NSL.BK","NSL FOODS PCL","27710604","-7.75","60.188","85.0955","52.288","43.17937","97.883185","95.09474","54.39526","60.188","34","34","0",""
"PR9.BK","PRARAM 9 HOSPITAL PCL","44042876","18.2","60.011","84.5293","52.172","43.33025","100","100","56.76946","60.011","22","22","0",""
"THCOM.BK","Thaicom PCL","982749242","39.95","59.915","75.2799","60.755","43.71042","85.383895","100","70.58915","59.915","13.3","15","12.78",""
"STA.BK","SRI TRANG AGRO-INDUSTRY PCL","668644","85.45","59.912","72.8761","60.916","45.94256","80.404765","98.55767","52.13084","59.912","21.9","21.1","-3.65",""
"TPLAS.BK","THAI PLASTIC INDUSTRIAL (1994) PCL","270930622","-14","59.907","62.3888","80.248","37.08472","100","100","83.67292","59.907","1.55","1.59","2.58",""
"STPI.BK","STP&I PCL","311681231","13","59.904","76.1798","61.824","41.70728","100","100","63.85534","59.904","4.08","4.04","-0.98",""
"LHHOTEL.BK","LH HOTEL LEASEHOLD REIT","45174254","31.2","59.814","76.5731","62.839","40.03117","100","100","63.77767","59.814","13.6","13.3","-2.21",""
"UEC.BK","Unimit Engineering PCL","218743","41.95","59.801","65.8549","75.381","38.16745","43.105305","0","65.68344","59.801","1.42","1.44","1.41",""
"SCN.BK","Scan Inter PCL","1098539240","36.3","59.769","54.8057","85.522","38.9778","34.762685","15.73664","83.07532","59.769","0.8","0.93","16.25",""
"VPO.BK","Vichitbhan Palmoil PCL","31896314","33.45","59.737","67.6672","75.329","36.21503","100","100","74.02562","59.737","0.7","0.73","4.29",""
