[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
COLOR.BK	0.557	71.456	43.36	41.94	40.01	0	0.16	76.11	1.018	28.369
COMAN.BK	0.552	71.402	51.59	51.54	47.09	0	0.84	62.87	0.994	74.153
CPALL.BK	-0.398	60.387	56.76	72.18	57.28	0	0.78	65.68	1.0	65.998
CPANEL.BK	-3.705	30.2	37.68	37.68	38.49	5	0.3	43.35	1.009	56.25
CPF.BK	-0.998	53.426	54.86	54.94	49.49	0	0.71	71.82	1.014	55.719
CPH.BK	0.035	65.401	53.19	56.71	51.34	0	0.38	69.6	1.016	68.759
CPI.BK	2.22	90.755	62.24	65.7	55.91	0	0.16	65.41	1.0	68.776
CPL.BK	0.248	67.88	56.39	42.49	49.83	0	0.35	77.3	1.022	64.103
CPN.BK	1.273	79.765	63.97	68.69	61.42	0	1.06	74.4	1.023	68.39
CPNREIT.BK	-0.66	57.34	51.45	43.83	38.53	5	0.22	63.68	0.99	63.043
CPR.BK	-0.57	58.387	51.63	44.99	49.77	0	0.36	63.92	1.001	71.024
CPT.BK	-0.127	63.531	52.1	50.5	44.01	5	0.08	62.72	1.009	66.964
CPW.BK	1.076	77.483	50.31	45.38	46.43	5	0.93	37.85	1.005	70.926
CRANE.BK	-0.439	59.906	44.25	30.61	32.63	0	0.59	44.45	0.991	64.145
CRC.BK	1.907	87.123	65.37	69.25	57.65	5	1.26	71.76	1.023	68.996
CRD.BK	-0.283	61.715	57.05	52.57	44.77	5	0.01	60.84	0.995	60.714
CSP.BK	2.078	89.101	60.87	55.77	50.77	0	0.33	60.45	0.997	69.951
CSS.BK	0.045	65.517	40.47	40.67	37.78	0	0.38	53.7	0.996	32.165
CTARAF.BK	0.835	74.691	48.18	54.32	47.34	5	0.15	60.95	0.999	37.225
CWT.BK	-0.837	55.292	40.26	46.77	36.8	0	0.28	44.24	0.961	62.5
D.BK	3.968	99.8	66.31	90.21	70.44	5	0.66	74.38	1.018	63.744
DCC.BK	-0.874	54.857	52.49	58.16	51.78	0	0.33	70.58	1.005	65.497
DDD.BK	-0.434	59.964	50.93	37.6	41.65	5	0.05	60.91	1.001	66.116
DELTA.BK	2.182	90.314	61.43	76.11	67.6	0	1.87	70.13	1.016	47.277
DEMCO.BK	-0.143	63.345	63.97	58.67	57.19	0	-0.28	80.36	1.031	71.845
DHOUSE.BK	-1.963	42.226	18.96	32.52	23.08	5	-0.07	22.01	0.961	29.287
DIF.BK	0.834	74.679	57.48	58.52	47.98	5	0.09	66.44	1.001	64.034
DIMET.BK	0.846	74.814	48.57	46.66	40.81	0	-2.86	28.56	0.931	56.25
DITTO.BK	0.956	76.094	58.06	52.57	50.76	5	1.21	64.41	1.003	57.376
DOD.BK	0.107	66.245	52.67	47.85	52.98	5	0.9	58.71	0.989	64.803
DOHOME.BK	0.881	75.222	57.94	75.09	61.85	5	1.52	76.0	1.055	46.046
DPAINT.BK	1.531	82.756	45.14	72.53	52.47	5	0.39	67.62	1.008	21.932
DREIT.BK	-0.719	56.665	45.68	23.51	30.37	5	0.08	53.03	0.997	62.763
DRT.BK	0.378	69.383	60.39	61.39	52.2	0	0.57	75.8	1.019	69.129
DUSIT.BK	2.244	91.036	65.86	62.66	56.4	5	0.47	69.96	1.013	67.622
DV8.BK	1.572	83.236	57.25	56.75	59.48	5	2.93	61.5	1.009	57.851
EA.BK	0.208	67.418	61.39	59.48	57.33	0	1.16	71.1	1.019	71.524
EASON.BK	3.511	99.8	57.24	49.41	52.65	0	0.2	64.98	1.003	69.681
EASTW.BK	1.479	82.161	61.71	84.29	70.53	0	0.46	72.22	1.013	75.363
ECF.BK	0.289	68.357	49.22	65.63	49.93	0	-2.98	32.7	1.08	47.222
EE.BK	0.82	74.518	41.79	33.44	33.63	0	-0.38	34.01	0.996	60.278
EFORL.BK	-0.093	63.919	53.37	48.69	42.18	0	-0.07	55.37	1.011	88.69
EGATIF.BK	4.743	99.8	43.56	56.86	43.92	5	0.15	59.34	0.997	32.755
EGCO.BK	1.49	82.287	64.82	83.01	69.03	0	0.73	75.44	1.022	65.219
EKH.BK	-1.297	49.96	32.32	29.09	26.87	0	-0.03	22.57	0.991	51.096
EMC.BK	-0.114	63.674	32.29	30.51	25.74	5	2.06	44.63	0.923	12.75
EP.BK	-0.605	57.984	37.9	42.68	32.52	5	0.13	35.67	0.99	63.462
EPG.BK	2.592	95.073	64.19	81.67	67.74	0	1.45	68.58	1.022	55.482
ERW.BK	2.674	96.017	55.89	77.08	58.76	0	1.22	60.59	1.018	71.669
ESTAR.BK	-2.462	36.439	40.84	30.66	34.42	0	0.33	52.52	0.983	34.211
ETE.BK	-0.14	63.377	44.05	45.48	40.48	0	0.5	55.57	1.019	73.424
EVER.BK	1.063	77.333	35.5	36.71	32.72	0	0.1	37.14	0.923	16.071
FANCY.BK	0.908	75.53	32.78	41.17	35.77	0	0.33	51.57	0.976	22.794
FLOYD.BK	0.67	72.775	55.64	59.16	56.36	5	0.35	67.16	1.014	58.311
FMT.BK	0.445	70.165	42.46	41.01	36.46	0	0.37	53.49	0.994	35.096
FN.BK	1.095	77.701	40.09	40.74	37.61	0	1.32	45.11	0.985	32.783
FNS.BK	-1.045	52.879	50.95	43.95	43.32	0	-0.06	54.47	1.03	74.301
FORTH.BK	-3.103	30.2	34.5	27.93	26.14	0	0.54	23.19	0.986	62.94
FPI.BK	-2.503	35.96	49.79	43.73	42.64	0	0.38	65.34	1.004	64.994
FPT.BK	-1.72	45.043	48.98	44.58	45.57	5	0.31	49.85	1.006	67.691
FSMART.BK	-0.581	58.264	58.18	61.12	53.02	0	1.1	65.88	1.012	72.795
FTE.BK	0.887	75.288	54.1	42.63	43.7	5	-0.03	64.06	1.003	34.816
FTI.BK	0.579	71.718	45.15	58.24	47.24	5	0.02	32.95	0.994	57.794
FTREIT.BK	-0.327	61.204	55.04	58.78	50.11	5	0.2	65.7	0.996	63.497
FVC.BK	-0.162	63.121	41.91	36.13	31.82	0	0.5	65.66	1.0	37.5
GAHREIT.BK	-0.72	56.644	30.33	24.13	24.2	5	-0.03	37.56	0.985	28.201
GBX.BK	-0.878	54.821	43.99	42.11	35.72	0	0.58	42.74	0.996	68.452
GC.BK	-1.162	51.525	63.59	59.2	52.71	0	0.54	98.19	1.029	69.25
GCAP.BK	0.693	73.042	58.13	58.34	47.97	0	0.6	76.43	1.029	64.583
GEL.BK	2.716	96.505	58.7	35.01	39.28	5	4.49	49.5	1.044	87.5
GENCO.BK	0.706	73.191	60.34	58.19	47.71	0	0.48	73.29	1.006	81.019
GFPT.BK	-0.64	57.581	59.33	49.43	50.29	0	0.98	72.19	1.011	70.614
GGC.BK	-1.483	47.797	42.85	41.68	40.86	5	0.04	50.21	1.007	72.133
GJS.BK	-0.368	60.732	32.29	42.1	38.16	5	0.52	19.64	0.951	10.027
GLOBAL.BK	1.655	84.196	67.49	82.49	67.3	0	1.85	73.91	1.04	76.902
GLOCON.BK	0.918	75.647	47.28	57.15	45.22	5	0.15	61.44	0.976	28.571
GLORY.BK	0.64	72.428	39.95	44.73	39.94	5	0.67	52.85	0.975	27.937
GPI.BK	1.442	81.725	65.13	52.85	51.44	5	0.11	70.1	1.006	54.174
GPSC.BK	0.868	75.071	68.34	80.59	64.22	0	1.36	83.96	1.052	81.146
GRAMMY.BK	-0.442	59.878	41.25	36.12	31.69	0	0.27	18.38	0.981	62.766
GRAND.BK	0.883	75.244	32.45	32.73	27.78	0	-0.48	41.62	0.857	0.25
