"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"BRRGIF.BK","BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND","248558","54.592","58.343","15.75","32.123","30.31915","93.20683","100","59.19349",""
"BSBM.BK","Bangsaphan Barmill PCL","419718","34.724","55.9939","-29.8","61.2","26.99229","50","52.4275","76.25471",""
"BSM.BK","Buildersmart PCL","57773","32.555","50.8651","-11.6","38.97","26.56642","0","0","23.08627",""
"BTNC.BK","Boutique Newcity PCL","25025","52.364","80.0758","-1.25","62.924","39.08046","65.43069","97.85387","57.00469",""
"BTS.BK","BTS GROUP HOLDINGS PCL","345714486","47.59","53.7738","5.6","54.422","38.78628","59.777585","100","60.99572",""
"BTSGIF.BK","BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND","13467098","45.656","52.8258","7","42.728","32.88889","69.344675","98.10475","47.357",""
"BTW.BK","BT WEALTH INDUSTRIES PCL","122341","54.684","50.582","9.5","66.359","25","80.919485","99.71761","69.78765",""
"BUI.BK","BANGKOK UNION INSURANCE PCL","61136","59.383","75.4366","32.4","38.03","35.92493","100","100","33.88798",""
"BWG.BK","Better World Green PCL","15477388","40.996","60.7169","21.75","51.806","32.0802","50","66.18105","54.44074",""
"BYD.BK","BEYOND SECURITIES PCL","38157999","46.883","34.5022","48.15","60.466","34.87179","56.42316","81.78135","55.56014",""
"CAZ.BK","CAZ (THAILAND) PCL","2177009","43.66","53.3608","1.7","67.806","35.83138","50","67.12943","79.78908",""
"CBG.BK","Carabao Group PCL","255038699","61.209","61.5681","18.5","45.105","43.26241","96.98501","100","66.06006",""
"CCET.BK","CAL-COMP ELECTRONICS (THAILAND) PCL.","302484883","79.73","99.8","57.65","80.361","41.29353","100","99.9804","79.02239",""
"CCP.BK","Chonburi Concrete Product PCL","281011","55.176","58.6511","33.25","58.103","27.3399","76.798445","96.87587","58.41483",""
"CEN.BK","Capital Engineering Network PCL","85230","42.153","57.3521","10.85","56.803","29.35323","23.424845","1.79644","85.76831",""
