[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
DCR-USD	0	0	47.674	85.185	73.66066695496	0
DCRE-USD	0	0	0	0	0	0
DCS.-USD	0	0	0	0	0	0
DCT-USD	0	0	0	0	0	0
DCY-USD	0	0	0	0	0	0
DDF-USD	0	0	0	0	0	0
DEA-USD	0	0	0	0	0	0
DEB-USD	0	0	0	0	0	0
DEEP-USD	0	0	0	0	0	0
DEM-USD	0	0	0	0	0	0
DENT-USD	0	0	0	0	0	0
DES-USD	0	0	0	0	0	0
DETH-USD	0	0	0	0	0	0
DEUR-USD	0	0	0	0	0	0
DFBT-USD	0	0	0	0	0	0
DFT-USD	0	0	0	0	0	0
DGB-USD	0	0	61.134	84.848	82.97766226738	0
DGC-USD	0	0	0	0	0	0
DGD-USD	0	0	51.125	87.407	76.16668663799	0
DGDC-USD	0	0	0	0	0	0
DGMS-USD	0	0	0	0	0	0
DGORE-USD	0	0	0	0	0	0
DGPT-USD	0	0	0	0	0	0
DICE-USD	0	0	0	0	0	0
DIEM-USD	0	0	0	0	0	0
DIGS-USD	0	0	0	0	0	0
DIM-USD	0	0	0	0	0	0
DIME-USD	0	0	0	0	0	0
DISK-USD	0	0	0	0	0	0
DIVX-USD	0	0	0	0	0	0
DKC-USD	0	0	0	0	0	0
DLC-USD	0	0	0	0	0	0
DLISK-USD	0	0	0	0	0	0
DLR-USD	0	0	0	0	0	0
DLT-USD	0	0	0	0	0	0
DMD-USD	0	0	0	0	0	0
DMT-USD	0	0	0	0	0	0
DNA-USD	0	0	0	0	0	0
DNET-USD	0	0	0	0	0	0
DNR-USD	0	0	0	0	0	0
DNT-USD	0	0	44.251	83.704	71.33528836726	0
DOGE-USD	0	0	77.39	87.407	95.79567124046	0
DOGED-USD	0	0	0	0	0	0
DOGETH-USD	0	0	0	0	0	0
DON-USD	0	0	0	0	0	0
DOPE-USD	0	0	0	0	0	0
DOT-USD	0	0	0	0	0	0
DOVU-USD	0	0	0	0	0	0
DP-USD	0	0	0	0	0	0
DPAY-USD	0	0	0	0	0	0
DRA-USD	0	0	0	0	0	0
DRACO-USD	0	0	0	0	0	0
DRC-USD	0	0	0	0	0	0
DRGN-USD	0	0	0	0	0	0
DRKC-USD	0	0	0	0	0	0
DRKT-USD	0	0	0	0	0	0
DRM8-USD	0	0	0	0	0	0
DROP-USD	0	0	0	0	0	0
DRP-USD	0	0	0	0	0	0
DRS-USD	0	0	0	0	0	0
DRT-USD	0	0	0	0	0	0
DRXNE-USD	0	0	0	0	0	0
DRZ-USD	0	0	0	0	0	0
DSB-USD	0	0	0	0	0	0
DSH-USD	0	0	0	0	0	0
DT-USD	0	0	0	0	0	0
DTB-USD	0	0	0	0	0	0
DTC-USD	0	0	0	0	0	0
DTCT-USD	0	0	0	0	0	0
DTR-USD	0	0	0	0	0	0
DTT-USD	0	0	0	0	0	0
DUB-USD	0	0	0	0	0	0
DUCK-USD	0	0	0	0	0	0
DUO-USD	0	0	0	0	0	0
DUTCH-USD	0	0	0	0	0	0
DUX-USD	0	0	0	0	0	0
DVC-USD	0	0	0	0	0	0
DYN-USD	0	0	0	0	0	0
EA-USD	0	0	0	0	0	0
EAC-USD	0	0	0	0	0	0
EAGS-USD	0	0	0	0	0	0
EARTH-USD	0	0	0	0	0	0
EB3-USD	0	0	0	0	0	0
EBCH-USD	0	0	0	0	0	0
EBET-USD	0	0	0	0	0	0
EBS-USD	0	0	0	0	0	0
EBST-USD	0	0	0	0	0	0
EBTC-USD	0	0	0	0	0	0
EBZ-USD	0	0	0	0	0	0
EC-USD	0	0	0	0	0	0
ECA-USD	0	0	0	0	0	0
ECASH-USD	0	0	0	0	0	0
ECC-USD	0	0	0	0	0	0
ECHT-USD	0	0	0	0	0	0
ECO-USD	0	0	0	0	0	0
ECOB-USD	0	0	0	0	0	0
EDC-USD	0	0	0	0	0	0
EDDIE-USD	0	0	0	0	0	0
EDG-USD	0	0	52.257	83.704	76.55956122157	0
EDGE-USD	0	0	0	0	0	0
EDO-USD	0	0	0	0	0	0
EDR-USD	0	0	0	0	0	0
EDRC-USD	0	0	0	0	0	0
EFL-USD	0	0	0	0	0	0
EFYT-USD	0	0	0	0	0	0
EGC-USD	0	0	0	0	0	0
EGG-USD	0	0	0	0	0	0
EGO-USD	0	0	0	0	0	0
EKN-USD	0	0	0	0	0	0
EKO-USD	0	0	0	0	0	0
ELC-USD	0	0	0	0	0	0
ELE-USD	0	0	0	0	0	0
ELITE-USD	0	0	0	0	0	0
ELIX-USD	0	0	0	0	0	0
ELLA-USD	0	0	0	0	0	0
ELM-USD	0	0	0	0	0	0
ELS-USD	0	0	0	0	0	0
ELT-USD	0	0	0	0	0	0
ELTC2-USD	0	0	0	0	0	0
ELTCOIN-USD	0	0	0	0	0	0
EMB-USD	0	0	0	0	0	0
EMC-USD	0	0	0	0	0	0
EMC2-USD	0	0	0	0	0	0
EMD-USD	0	0	0	0	0	0
EMIGR-USD	0	0	0	0	0	0
EMPC-USD	0	0	0	0	0	0
EMT-USD	0	0	0	0	0	0
ENE-USD	0	0	0	0	0	0
ENG-USD	0	0	0	0	0	0
ENJ-USD	0	0	0	0	0	0
ENRG-USD	0	0	0	0	0	0
ENT-USD	0	0	0	0	0	0
ENTER-USD	0	0	0	0	0	0
ENV-USD	0	0	0	0	0	0
EOC-USD	0	0	0	0	0	0
EON-USD	0	0	0	0	0	0
EOS-USD	0	0	67.475	84.444	97.05486410912	0
EPY-USD	0	0	0	0	0	0
EQ-USD	0	0	0	0	0	0
EQB-USD	0	0	0	0	0	0
EQM-USD	0	0	0	0	0	0
EQT-USD	0	0	0	0	0	0
EQUAL-USD	0	0	0	0	0	0
ERB-USD	0	0	0	0	0	0
ERC-USD	0	0	0	0	0	0
ERO-USD	0	0	0	0	0	0
ERR-USD	0	0	0	0	0	0
ERT-USD	0	0	0	0	0	0
ERY-USD	0	0	0	0	0	0
ESP-USD	0	0	0	0	0	0
ETBS-USD	0	0	0	0	0	0
ETBT-USD	0	0	0	0	0	0
ETC-USD	0	0	48.889	86.667	74.60656486537	0
ETG-USD	0	0	0	0	0	0
ETH-USD	0	0	46.374	84.444	72.74832574183	0
ETHB-USD	0	0	0	0	0	0
ETHD-USD	0	0	0	0	0	0
ETHS-USD	0	0	0	0	0	0
ETK-USD	0	0	0	0	0	0
ETN-USD	0	0	0	0	0	0
ETP-USD	0	0	0	0	0	0
ETT-USD	0	0	0	0	0	0
EUC-USD	0	0	0	0	0	0
EVC-USD	0	0	0	0	0	0
EVENT-USD	0	0	0	0	0	0
EVIL-USD	0	0	0	0	0	0
EVR-USD	0	0	0	0	0	0
EVX-USD	0	0	0	0	0	0
EXB-USD	0	0	0	0	0	0
EXCL-USD	0	0	0	0	0	0
EXE-USD	0	0	0	0	0	0
EXIT-USD	0	0	0	0	0	0
EXN-USD	0	0	0	0	0	0
EXP-USD	0	0	0	0	0	0
EXY-USD	0	0	0	0	0	0
EZC-USD	0	0	0	0	0	0
EZM-USD	0	0	0	0	0	0
F16-USD	0	0	0	0	0	0
FAIR-USD	0	0	54.212	84.444	77.97892001201	0
FAME-USD	0	0	0	0	0	0
FAZZ-USD	0	0	0	0	0	0
FC-USD	0	0	0	0	0	0
FC2-USD	0	0	0	0	0	0
FCN-USD	0	0	0	0	0	0
FCS-USD	0	0	0	0	0	0
FCT-USD	0	0	45.144	84.497	71.97609052185	0
FDC-USD	0	0	0	0	0	0
FFC-USD	0	0	0	0	0	0
FGZ-USD	0	0	0	0	0	0
FIBRE-USD	0	0	0	0	0	0
FIL-USD	0	0	0	0	0	0
FIND-USD	0	0	0	0	0	0
FIRE-USD	0	0	0	0	0	0
FIRST-USD	0	0	0	0	0	0
FIST-USD	0	0	0	0	0	0
FIT-USD	0	0	0	0	0	0
FJC-USD	0	0	0	0	0	0
FLAP-USD	0	0	0	0	0	0
FLASH-USD	0	0	0	0	0	0
FLDC-USD	0	0	0	0	0	0
FLIK-USD	0	0	0	0	0	0
FLIXX-USD	0	0	0	0	0	0
FLLW-USD	0	0	0	0	0	0
FLO-USD	0	0	0	0	0	0
FLP-USD	0	0	0	0	0	0
FLT-USD	0	0	0	0	0	0
FLVR-USD	0	0	0	0	0	0
FLX-USD	0	0	0	0	0	0
FLY-USD	0	0	0	0	0	0
FND-USD	0	0	0	0	0	0
FONZ-USD	0	0	0	0	0	0
FOOD-USD	0	0	0	0	0	0
FOREX-USD	0	0	0	0	0	0
FRAC-USD	0	0	0	0	0	0
FRAZ-USD	0	0	0	0	0	0
FRC-USD	0	0	0	0	0	0
FRD-USD	0	0	0	0	0	0
FRE-USD	0	0	0	0	0	0
FRK-USD	0	0	0	0	0	0
FRN-USD	0	0	0	0	0	0
FRST-USD	0	0	32.66	47.5	35.63338462734	0
FRWC-USD	0	0	0	0	0	0
FSC2-USD	0	0	0	0	0	0
FSN-USD	0	0	0	0	0	0
FST-USD	0	0	0	0	0	0
FTC-USD	0	0	0	0	0	0
FTP-USD	0	0	0	0	0	0
FUCK-USD	0	0	0	0	0	0
FUEL-USD	0	0	0	0	0	0
FUN-USD	0	0	66.35	53.367	94.25309438957	0
FUNC-USD	0	0	0	0	0	0
FUTC-USD	0	0	0	0	0	0
FUZZ-USD	0	0	0	0	0	0
FX-USD	0	0	0	0	0	0
FYN-USD	0	0	0	0	0	0
GAIA-USD	0	0	0	0	0	0
GAKH-USD	0	0	0	0	0	0
GAM-USD	0	0	0	0	0	0
GAME-USD	0	0	38.059	82.222	67.50502675031	0
GAP-USD	0	0	0	0	0	0
GAS-USD	0	0	29.969	65.8	61.54517496116	0
GAT-USD	0	0	0	0	0	0
GAY-USD	0	0	0	0	0	0
GB-USD	0	0	0	0	0	0
GBIT-USD	0	0	0	0	0	0
GBRC-USD	0	0	0	0	0	0
GBT-USD	0	0	0	0	0	0
GBX-USD	0	0	0	0	0	0
GBYTE-USD	0	0	55.188	82.963	78.5186136353	0
GCC-USD	0	0	0	0	0	0
GCN-USD	0	0	0	0	0	0
GCR-USD	0	0	0	0	0	0
GDC-USD	0	0	0	0	0	0
GEA-USD	0	0	0	0	0	0
GEMZ-USD	0	0	0	0	0	0
GEN-USD	0	0	0	0	0	0
GEO-USD	0	0	0	0	0	0
GES-USD	0	0	0	0	0	0
GFT-USD	0	0	0	0	0	0
GGS-USD	0	0	0	0	0	0
GHC-USD	0	0	0	0	0	0
GHOUL-USD	0	0	0	0	0	0
GHS-USD	0	0	0	0	0	0
GIFT-USD	0	0	0	0	0	0
GIG-USD	0	0	0	0	0	0
GIM-USD	0	0	0	0	0	0
GIVE-USD	0	0	0	0	0	0
GIZ-USD	0	0	0	0	0	0
GJC-USD	0	0	0	0	0	0
GLA-USD	0	0	0	0	0	0
GLC-USD	0	0	0	0	0	0
GLD-USD	0	0	0	0	0	0
GLOBE-USD	0	0	0	0	0	0
GLX-USD	0	0	0	0	0	0
GLYPH-USD	0	0	0	0	0	0
GMC-USD	0	0	0	0	0	0
GML-USD	0	0	0	0	0	0
