"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"PLUS.PSE","DigiPlus Interactive Corp.","163703","50","60.002","81.4457","52.239","46.31993","40.2528","21.22082","56.22761","60.002","42.32","61.199","-1.96","3.5","3.3","-5.71",""
"BC.PSE","Benguet Corporation","41199994","-36.35","59.859","62.4776","73.829","43.27024","47.668645","29.77677","46.11491","59.859","0.63","58.98","1.49","4.4","4.5","2.27",""
"MBT.PSE","Metropolitan Bank & Trust Company","186988056","-3.2","59.725","74.7048","54.326","50.14501","49.71998","24.36585","60.66415","59.725","5.13","59.918","-0.32","58","58.75","1.29",""
"LAND.PSE","City & Land Developers, Incorporated","1581739","-103.05","59.171","65.9261","78.601","32.9863","24.74305","13.27535","53.4545","59.171","7.41","60.403","-2.04","0.83","0.78","-6.02",""
"ORE.PSE","Oriental Peninsula Resources Group, Inc.","4998821","66.75","59.031","74.4053","64.421","38.26716","50","73.4271","50.30524","59.031","0","60.295","-2.1","0.75","0.74","-1.33",""
"PBB.PSE","Philippine Business Bank","531035","-17.5","58.71","64.2051","74.815","37.11134","21.53114","0.2949","54.82907","58.71","1.39","64.381","-8.81","7.6","7.6","0",""
"MRC.PSE","MRC Allied, Inc.","262066","34.1","58.622","69.5501","66.852","39.46356","50","79.08773","62.5192","58.622","15.72","63.749","-8.04","0.236","0.22","-6.78",""
"BKR.PSE","Bright Kindle Resources & Investments Inc.","9152728","88.5","58.458","66.9199","67.214","41.24099","95.174175","76.51664","35.6371","58.458","24.29","59.027","-0.96","1.42","1.37","-3.52",""
"MRSGI.PSE","Metro Retail Stores Group, Inc.","1064235","26.3","58.257","70.1635","72.726","31.88295","87.62107","81.82147","66.52032","58.257","0.68","54.532","6.83","1.39","1.42","2.16",""
"WLCON.PSE","Wilcon Depot, Inc.","37436314","15.85","58.194","72.2273","52.73","49.62404","11.71725","0","52.71744","58.194","0.33","59.646","-2.43","27.3","27","-1.1",""
"AXLM.PSE","Axelum Resources Corp.","42611039","31.15","58.103","66.116","71.335","36.85707","39.47451","3.29808","63.80786","58.103","9.45","60.869","-4.54","2.74","2.54","-7.3",""
"PIZZA.PSE","Shakey's Pizza Asia Ventures, Inc.","12731051","31.85","58.1","72.9201","61.237","40.14335","50","56.87351","49.84266","58.1","5.81","56.73","2.41","8.72","8.5","-2.52",""
"MWC.PSE","Manila Water Company, Inc.","136066","18.5","58.072","69.8981","59.708","44.61094","15.02051","18.94086","56.66453","58.072","8.21","57.481","1.03","18.24","17.82","-2.3",""
"SSP.PSE","SFA Semicon Philippines Corporation","633500","5.3","58.042","80.6956","49.774","43.65593","50","100","62.09513","58.042","1.67","58.229","-0.32","1.76","1.77","0.57",""
"BDO.PSE","BDO Unibank, Inc.","158554","37.45","57.87","71.8634","52.921","48.82702","50","99.08473","63.24828","57.87","7.41","56.396","2.61","135","139.4","3.26",""
"ICT.PSE","International Container Terminal Services, Inc.","16859047","33.5","57.469","73.1557","51.518","47.73352","50","53.74699","51.79744","57.469","2.9","57.101","0.64","196","202.8","3.47",""
"DMW.PSE","D.M. Wenceslao & Associates, Incorporated","1590915","-0.75","57.412","64.9191","74.805","32.51066","39.99305","17.4982","46.83275","57.412","0","58.425","-1.73","6.68","6.54","-2.1",""
"PXP.PSE","PXP Energy Corporation","40469369","4.5","57.104","70.2376","59.614","41.4601","26.390815","3.74491","47.94179","57.104","10.43","54.667","4.46","4.95","4.8","-3.03",""
"GERI.PSE","Global-Estate Resorts, Inc.","407645","12.65","57.102","67.2014","74.911","29.19501","15.671985","1.72487","49.91437","57.102","2.27","58.614","-2.58","0.84","0.84","0",""
"EMI.PSE","Emperador Inc.","1346758","50","56.97","77.3726","46.776","46.7614","50","72.51395","62.30978","56.97","1.67","57.843","-1.51","21.2","21","-0.94",""
"MWIDE.PSE","Megawide Construction Corporation","12317797","50.95","56.343","53.9381","75.019","40.07261","29.120075","0","67.75552","56.343","31.58","57.548","-2.09","3.15","3.12","-0.95",""
"OPM.PSE","Oriental Petroleum and Minerals Corporation","3108414","100","56.244","69.9321","79.335","19.46452","26.210705","20.74559","55.38051","56.244","1.01","56.855","-1.07","0.0096","0.0095","-1.04",""
"PHN.PSE","Phinma Corporation","7160765","8.8","56.071","68.6168","66.984","32.61121","89.70169","74.03623","25.79168","56.071","1.48","58.266","-3.77","19.18","19.1","-0.42",""
"NOW.PSE","Now Corporation","873886","32.05","56.045","73.1659","53.855","41.11347","28.450995","0","66.75203","56.045","19.75","59.131","-5.22","1.5","1.44","-4",""
"NIKL.PSE","Nickel Asia Corporation","154694","30.15","55.929","73.9794","48.759","45.04812","50","32.87588","60.98128","55.929","6.11","59.71","-6.33","6.09","5.96","-2.13",""
"SMC.PSE","San Miguel Corporation","392863637","4.75","55.834","67.5092","60.822","39.17032","50","96.54589","62.35247","55.834","1.22","56.695","-1.52","106.5","106.9","0.38",""
"UBP.PSE","Union Bank of the Philippines","8962584","1.8","55.797","67.4178","57.469","42.50559","38.6464","6.65504","42.99796","55.797","2.6","57.546","-3.04","79.6","78.2","-1.76",""
