[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
EDV.AX	0.052	65.6	43.8	48.48	42.05	5	0.72	34.46	0.994	40.364
EEG.AX	2.643	95.659	43.33	51.06	45.18	5	-0.67	42.13	0.93	13.02
EGG.AX	4.897	99.8	48.74	53.92	47.85	5	1.92	35.89	0.99	43.202
EGL.AX	0.993	76.518	48.07	41.79	48.99	5	0.81	53.36	1.002	44.213
EGR.AX	0.858	74.954	49.41	40.87	43.03	5	3.01	55.9	1.005	44.46
EIQ.AX	-0.773	56.028	56.41	49.3	46.23	5	2.22	47.88	1.018	74.357
EL8.AX	-1.163	51.513	27.28	23.96	34.86	5	1.86	26.06	0.928	12.566
ELD.AX	4.886	99.8	63.2	85.31	67.83	5	1.47	70.9	1.002	59.529
ELS.AX	6.289	99.8	39.92	70.14	55.65	5	-0.73	47.24	0.893	19.561
ELT.AX	1.453	81.851	70.83	67.97	67.92	5	0.71	74.28	1.077	73.363
EM2.AX	2.538	94.443	47.12	45.18	37.83	5	-0.99	47.16	0.878	25.0
EMD.AX	2.919	98.857	56.73	60.63	57.29	5	1.24	74.21	1.051	26.045
EMH.AX	-0.884	54.742	61.76	50.76	51.05	5	2.72	86.97	1.05	77.435
EML.AX	1.414	81.399	48.82	51.27	48.32	5	2.1	52.73	0.997	35.279
EMN.AX	0.668	72.746	63.31	49.48	51.38	5	0.0	69.2	1.056	84.193
EMR.AX	-1.425	48.469	44.3	38.78	40.49	5	0.82	37.47	0.978	64.526
EMV.AX	-0.026	64.694	45.33	32.76	35.49	5	1.13	59.15	1.002	32.738
ENR.AX	0.177	67.052	34.89	40.92	47.34	5	2.26	32.37	0.96	10.193
EOL.AX	-0.734	56.482	55.22	47.51	53.06	5	0.97	52.85	1.024	61.612
EPM.AX	6.328	99.8	38.05	48.44	42.8	5	1.44	50.07	0.908	17.398
EQR.AX	0.514	70.958	34.17	39.09	39.14	5	0.41	33.86	0.968	19.94
ERM.AX	1.684	84.531	53.41	82.52	68.77	5	1.74	74.12	1.038	14.982
ESK.AX	0.007	65.078	52.2	42.22	45.91	5	-0.82	46.59	0.959	38.455
ETM.AX	0.071	65.823	35.01	36.29	34.97	5	2.58	23.39	0.94	23.485
EUR.AX	2.713	96.465	43.05	63.49	51.35	5	-0.24	44.93	0.857	5.711
EV1.AX	2.248	91.079	33.85	39.87	31.79	5	3.75	11.03	0.828	7.853
EVN.AX	-1.333	49.542	38.08	30.68	36.49	5	1.02	24.04	0.969	66.513
EVO.AX	-0.878	54.812	33.07	33.52	33.75	5	0.5	36.25	0.988	34.935
EVS.AX	1.492	82.304	52.5	44.86	40.63	5	2.06	70.48	1.002	37.5
EVT.AX	1.961	87.749	59.55	68.94	63.97	5	0.78	72.25	1.035	78.802
EWC.AX	6.235	99.8	41.29	39.8	40.11	5	3.86	36.95	0.959	25.279
EXP.AX	1.206	78.995	61.82	51.65	49.98	5	0.27	67.62	1.031	77.917
EXR.AX	1.83	86.229	68.62	64.28	59.43	5	0.19	76.93	1.045	84.244
EYE.AX	1.422	81.496	64.32	57.96	60.11	5	2.77	78.6	1.048	48.06
EZL.AX	3.915	99.8	64.85	65.58	60.09	5	0.49	86.41	1.04	74.066
FAL.AX	5.551	99.8	49.9	57.69	53.08	5	2.58	53.11	0.874	26.841
