"Symbol","Company Name","Wtd Sortino Score"
"ORA","Orora Ltd","10.8687118134"
"GDC","Global Data Centre Group","10.64110584952"
"FEX","Fenix Resources Ltd","10.6064595998"
"NUF","Nufarm Ltd","10.57008800589"
"LMG","Latrobe Magnesium Ltd","10.28936363509"
"PEK","Peak Resources Ltd","10.28318836787"
"SIV","Siv Capital Ltd","10.14526218878"
"RMD","Resmed Inc DRC","10.00496602551"
"RNE","Renu Energy Ltd","9.934021639657"
"D2O","Duxton Water Ltd","9.792363871087"
"SGM","Sims Metal Management Ltd","9.541318678209"
"CRN","Coronado Global Resources Inc","9.296445434802"
"SCN","Scorpion Minerals Ltd","9.277144728859"
"SHL","Sonic Healthcare Ltd","9.123263566742"
"LSX","Lion Selection Group Ltd","8.924428507999"
"RWC","Reliance Worldwide Corporation Ltd","8.797874736998"
"APA","APA Group","8.762752548085"
"ALD","Ampol Ltd","8.429854938414"
"JLG","Johns Lyng Group Ltd","8.418723046282"
"SXE","Southern Cross Electrical Ltd","8.377644029248"
"DEV","DevEx Resources Ltd","8.143804166022"
"IMC","Immuron Ltd","7.859194708135"
"FAR","FAR Ltd","7.80771866514"
"TPG","TPG Telecom Ltd","7.355133216576"
"GNE","Genesis Energy Ltd","7.103912541961"
"AEE","Aura Energy Ltd","7.101032884832"
"ALX","Atlas Arteria","7.091888637841"
"SSG","Shaver Shop Group Ltd","7.07406771654"
"NWL","Netwealth Group Ltd","7.008451107144"
"UOS","United Overseas Australia Ltd","6.981788143055"
"ALL","Aristocrat Leisure Ltd","6.849877593817"
"WLE","Wam Leaders Ltd","6.786422415689"
"ASO","Aston Minerals Ltd","6.713528921589"
"IVC","Invocare Ltd","6.706303175334"
"PNN","Power Minerals Ltd","6.610386256726"
"GNG","GR Engineering Services Ltd","6.540647777167"
"AR3","Australian Rare Earths Ltd","6.477279513727"
"EYE","Nova Eye Medical Ltd","6.35616270667"
"MLM","Metallica Minerals Ltd","6.278218317386"
"NGE","NGE Capital Ltd","6.078128042809"
"IRE","Iress Ltd","6.024594367137"
"SCG","Scentre Group Ltd","6.013462164228"
"TWR","Tower Ltd","5.847674374383"
"FRX","Flexiroam Ltd","5.724964559494"
"ING","Inghams Group Ltd","5.714627425492"
"RFG","Retail Food Group Ltd","5.690862706386"
"CCV","Cash Converters International","5.499912540957"
"OEL","Otto Energy Ltd","5.34549231456"
"MGR","Mirvac Group","5.299149969498"
"KLS","Kelsian Group Ltd","5.228876294363"
"MAT","Matsa Resources Ltd","5.049728474461"
"EINC","BetaShares Legg Mason Equity Income","4.851773031171"
"PIQ","Proteomics Intl Labs Ltd","4.850848736984"
"MXT","Metrics Master Income Trust Unit","4.808232466795"
"CVC","CVC Ltd","4.79073522023"
"RG8","REGAL ASIAN INVESTMENTS LIMITED","4.747389748564"
"EVO","Evolve Education Group Ltd","4.686715734173"
"KSL","Kina Securities Ltd","4.486950611055"
"SEQ","Sequoia Financial Group Ltd","4.322551969382"
"CVV","Caravel Minerals Ltd","4.241632834593"
"RBX","Resource Base Ltd","4.235950474187"
"PMV","Premier Investments Ltd","4.138324131543"
"GCI","Gryphon Capital Income Trust","4.093178808863"
"CBA","Commonwealth Bank Of Australia","4.079716245916"
"TOP","Thorney Opportunities Ltd","4.005571188555"
"PNC","Pioneer Credit Ltd","3.927232422767"
"CPU","Computershare Ltd.","3.890344237238"
"TEM","Tempest Minerals Ltd","3.724519593474"
"MFF","MFF Capital Investments Ltd","3.641323090392"
"MQG","Macquarie Group Ltd","3.451064277936"
"KCN","Kingsgate Consolidated Ltd.","3.179692285689"
"PCI","Perpetual Credit Income Trust","2.907876654171"
"COG","COG Financial Services Ltd","2.836968847515"
"TYR","Tyro Payments Ltd","2.796609933829"
"MHJ","Michael Hill International Ltd","2.763649493972"
"IPL","Incitec Pivot Ltd","2.563445391647"
"IGN","Ignite Ltd","2.473378495209"
"XTC","Xantippe Resources Ltd","2.42065597198"
"LBL","LaserBond Ltd","2.385759557139"
"GNC","Graincorp Ltd","2.265196921078"
"RINC","BetaShares Legg Mason Real Income","2.179960930108"
"IPH","IPH Ltd","2.128308482964"
"WMA","Wam Alternative Assets Ltd","2.038577916915"
"CGS","CogState Ltd","2.034967154818"
"MDR","Medadvisor Ltd","1.893527753886"
"BAP","Burson Group Ltd","1.89164220743"
"BKI","BKI Investment Company Ltd","1.705786213745"
"ANX","Anax Metals Ltd","1.604417785836"
"NXG","Nexgen Energy Ltd DRC","1.48301886006"
"AGX1","Antipodes Global Shares","1.417856661907"
"MTS","Metcash Ltd","0.9828378822944"
"PUR","Pursuit Minerals Ltd","0.8742392627731"
"UNT","Unith Ltd.","0.8545487700922"
"GMG","Goodman Group","0.8191857627248"
"BCA","Black Canyon Ltd","0.8165497356446"
"MFD","Mayfield Childcare Ltd","0.6499665289585"
"GPT","GPT Group","0.4016612169998"
"VUK","Virgin Money PLC","0.4001103392702"
"ANZ","Australia and New Zealand Banking Group Ltd","0.2538097713708"
"BPT","Beach Energy Ltd","0.253564243314"
"WBC","Westpac Banking Corp","0.2477408308826"
"IDX","Integral Diagnostics Ltd","0.2260315777648"
"PFP","Propel Funeral Partners Ltd","0.1622670210429"
"PAC","Pacific Current Group Ltd","0.1536230111577"
"WTL","Wt Financial Group Ltd","0.1228902817553"
"TGP","360 Capital Group Ltd","0.1188306017734"
"SHE","Stonehorse Energy Ltd","0.08735021485847"
"GNX","Genex Power Ltd","0.03379799554104"
"CAM","Clime Capital Ltd","-0.002890577799293"
"ECX","Eclipx Group Ltd","-0.03208016356261"
"FPR","FleetPartners Group Ltd.","-0.05581793558273"
"ATR","Astron Corporation Ltd","-0.5767829521192"
"BWP","BWP Trust","-0.6568008440441"
"FLC","Fluence Corporation Ltd","-0.6754094146851"
"BPH","BPH Energy Ltd","-0.7526060564385"
"FSA","FSA Group Ltd","-0.7724990341761"
"AVW","Avira Energy Ltd","-0.7755103480261"
"NXL","Nuix Ltd","-0.9891875282022"
"PNV","Polynovo Ltd","-1.179078999094"
"DJW","Djerriwarrh Investments Ltd","-1.196884390264"
"QVE","QV Equities Ltd","-1.283672385915"
"SB2","Salter Brothers Emerging Co Ltd","-1.392589285059"
"CWY","Cleanaway Waste Management Ltd","-1.679552122498"
"IMPQ","eInvest Future Impact Small Caps","-1.990564393254"
"PAA","PharmAust Ltd","-2.277156488069"
"MOT","Metrics Income Opportunities Trust Unit","-2.306726980012"
"BEN","Bendigo And Adelaide Bank Ltd","-2.355223802487"
"XRO","Xero Ltd","-2.37642984997"
"ANN","Ansell Ltd","-2.54548412772"
"SGF","SG Fleet Group Ltd","-2.728647064054"
"GDG","Generation Development Group Ltd","-2.822715750867"
"KRM","Kingsrose Mining Ltd","-3.065943104364"
"JIN","Jumbo Interactive Ltd","-3.075893752592"
"LNR","Lonestar Reso Ltd","-3.22358277067"
"SHO","SportsHero Ltd","-3.302575772209"
"S2R","S2 Resources Ltd","-3.304386290846"
"PVT","Pivotal Metals Ltd.","-3.310952655986"
"CXL","Calix Ltd","-3.360244824761"
"PDN","Paladin Energy Ltd","-3.415870947571"
"EQX","Equatorial Resources Ltd","-3.439072314248"
