"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"KODK","Eastman Kodak Co","88067","78.55","72.439","85.7567","83.907","47.65312","76.19991","100","52.70146","72.439","5.68","5.8","2.11",""
"KAVL","Kaival Brands Innovations Group Inc","3685","100","72.437","83.0214","97.18","37.10865","38.79008","13.50649","77.73348","72.437","1.16","1.13","-2.59",""
"IRM","Iron Mountain Incorporated","185444606","61.5","72.434","99.8","57.574","59.92806","100","100","60.30073","72.434","98.28","98.5","0.22",""
"AHG","Akso Health Group DRC","6473734","76.2","72.4","89.6552","84.98","42.56516","59.322855","62.35949","84.55541","72.4","1.12","1.034","-7.68",""
"URGN","UroGen Pharma Ltd","124273","25.5","72.392","85.9475","86.024","45.20522","100","98.39584","59.6975","72.392","15.85","16.35","3.15",""
"RGT","Royce Global Value Trust Inc","2369873","15","72.375","95.3418","67.88","53.90392","59.800885","100","54.9976","72.375","11.7","11.73","0.26",""
"GSUN","Golden Sun Education Group Ltd","35655990","-77.6","72.358","77.1444","98.458","41.47228","66.037555","98.30595","74.46821","72.358","6.68","7.98","19.46",""
"HWKN","Hawkins Inc","158824","59.7","72.356","99.8","65.089","52.17935","89.06338","100","51.70922","72.356","105.84","107.01","1.11",""
"ABUS","Arbutus Biopharma Corp","80182907","47.5","72.327","94.557","75.255","47.17024","69.43149","99.78647","66.61243","72.327","3.7","3.9","5.41",""
"PIPR","Piper Sandler Companies","10883616","46.1","72.315","99.8","61.027","56.11924","84.532505","100","72.29293","72.315","258.27","275.15","6.54",""
"STTK","Shattuck LabsInc","3439754","5.3","72.308","83.2496","88.118","45.55506","0","0","37.16928","72.308","4.42","4.41","-0.23",""
"AWI","Armstrong World Industries Inc","30619725","52.35","72.285","99.8","64.151","52.90466","73.398145","64.94627","59.7232","72.285","121.65","131.25","7.89",""
"PRDO","Perdoceo Education Corp","36227134","5.9","72.279","99.8","63.207","53.83001","50","96.29324","56.5977","72.279","23.51","24.79","5.44",""
"CRTO","Criteo Sa","29774548","30.55","72.27","98.8979","65.581","52.3321","78.25954","93.12758","61.84321","72.27","40.63","45.07","10.93",""
"EPIX","ESSA Pharma Inc","9798619","-13.3","72.251","79.3524","89.88","47.52008","23.377645","0","38.04018","72.251","5.15","5.34","3.69",""
"JXN","Jackson Financial Inc","134133773","56","72.21","99.8","58.962","57.86746","50","98.967","64.61039","72.21","82.7","87.84","6.22",""
"COSM","Cosmos Health Inc.","32290933","-63.6","72.202","99.8","74.961","41.8438","94.24625","98.95104","75.05242","72.202","1.2","1.17","-2.5",""
"HNI","HNI Corp","26819900","10","72.198","99.8","62.181","54.61345","63.595015","95.49554","60.94268","72.198","48.34","54.5","12.74",""
"STEP","Stepstone Group Inc","3404374","20.5","72.166","99.8","61.278","55.41858","81.490165","100","71.2466","72.166","49.1","49.49","0.79",""
"USLM","United States Lime & Minerals Inc","6623610","24.65","72.163","99.8","62.915","53.77384","53.154615","100","63.79789","72.163","81.3","83.93","3.23",""
"ALAR","Alarum Technologies Ltd.","229426","57.45","72.153","99.8","67.282","49.37768","50","73.09089","51.04818","72.153","25.95","28.2","8.67",""
"MRUS","Merus BV","4262259","19.85","72.145","99.8","65.938","50.69623","87.071755","100","54.74613","72.145","55.68","54.19","-2.68",""
"PFX","Phenixfin Corporation","15187213","23.5","72.121","86.9784","84.522","44.86374","97.849825","100","42.97703","72.121","46.77","47.64","1.86",""
"VKTX","Viking Therapeutics Inc","27087046","29.1","72.065","99.8","67.166","49.22887","20.327785","2.90107","57.54171","72.065","50.81","65.98","29.86",""
"JEF","Jefferies Financial Group Inc","9959135","44.8","72.06","99.8","61.388","54.99088","87.787775","98.50107","58.73229","72.06","54.62","56.96","4.28",""
"KEQU","Kewaunee Scientific Corporation","56212","-1.4","72.051","99.8","66.024","50.33023","78.480625","95.13684","62.22332","72.051","51.69","53.41","3.33",""
"LCFY","Locafy Ltd","5262884","-490.15","72.014","78.4188","96.009","41.61275","61.34728","67.16921","73.35563","72.014","6.14","4.9","-20.2",""
"ADMA","ADMA Biologics Inc","438123","54.15","72.009","99.8","62.524","53.7019","64.256715","100","70.51534","72.009","13.5","13.16","-2.52",""
"TYL","Tyler Technologies Inc","156922679","20.25","72.004","99.8","60.701","55.5122","53.95141","100","68.04178","72.004","526.65","590.65","12.15",""
"SPRY","Silverback Therapeutics Inc","338093906","2.85","71.976","83.7111","78.319","53.898","80.3368","75.83196","65.29915","71.976","10.62","10.98","3.39",""
"CRS","Carpenter Technology Corporation","27798","56.65","71.972","99.8","59.63","56.48485","50","100","68.50806","71.972","119.61","140.78","17.7",""
"OUST","Ouster Inc","912956","100","71.96","99.8","69.865","46.21532","50","92.45759","57.68184","71.96","14.21","13.96","-1.76",""
"NCMI","National CineMedia Inc","12188456","32.2","71.93","98.4819","73.259","44.04829","43.28188","46.09713","61.61342","71.93","5.25","5.71","8.76",""
"ULBI","Ultralife Corporation","2564083","80","71.927","92.9204","78.098","44.76176","50","29.27649","62.17771","71.927","11","11.02","0.18",""
"RDNT","RadNet Inc","1902222","45.35","71.914","99.8","62.521","53.42203","50.557425","100","60.52346","71.914","62.96","61.98","-1.56",""
"CBZ","CBIZ Inc","20756698","38.9","71.801","99.8","57.645","57.95812","76.511585","81.02925","57.96535","71.801","84.53","85.66","1.34",""
"NSPR","InspireMD Inc","274275","-43.2","71.798","95.5871","76.314","43.49249","58.371455","99.3192","39.17641","71.798","2.41","3.39","40.66",""
"KNSA","Kiniksa Pharmaceuticals Ltd","288165","54.15","71.769","97.9965","66.346","50.96428","72.512165","93.07731","58.05417","71.769","20.88","26.12","25.1",""
"BK","Bank of New York Mellon","608000","13.1","71.739","99.8","58.27","57.14807","84.51098","100","57.43795","71.739","62.36","65.35","4.79",""
"CSWI","CSW Industrials Inc","53089849","79.25","71.73","99.8","57.831","57.559","100","100","55.26147","71.73","285.17","300.87","5.51",""
"VIVK","Vivakor Inc","24965","36","71.703","90.3102","76.458","48.3415","87.173285","100","55.65574","71.703","2.41","2.3599","-2.08",""
"WTER","Alkaline Water Company Inc","8287725","100","71.686","99.8","79.702","35.55705","78.605695","2.06402","72.67743","71.686","0.002","0.002","0",""
"GKOS","Glaukos Corp","199926","45.8","71.664","99.8","62.728","52.46415","50","100","65.75111","71.664","121.44","119.82","-1.33",""
"OCEA","Ocean Biomedical Inc.","58148545","73.85","71.645","78.6751","94.158","42.1007","26.21621","0","53.81976","71.645","1.11","1.28","15.32",""
"KEX","Kirby Corporation","259910","71.1","71.627","99.8","59.108","55.97438","50","99.51047","61.40406","71.627","123.19","119.44","-3.04",""
"TSHA","Taysha Gene TherapiesInc","222430880","74.45","71.593","88.7465","77.64","48.3932","35.28163","23.16624","63.40672","71.593","2.14","2.3","7.48",""
"ARLO","Arlo Technologies","415767","19.7","71.583","94.6752","66.773","53.3018","73.853725","100","58.06177","71.583","16.54","15.49","-6.35",""
"SCSC","ScanSource Inc","136157550","36.7","71.563","97.2929","67.702","49.695","50","52.35916","58.02207","71.563","46.56","50.38","8.2",""
"MTG","MGIC Investment Corp","4734976","13.45","71.545","99.8","57.989","56.84651","86.27535","99.11695","55.7281","71.545","23.43","24.88","6.19",""
"AXP","American Express Company","3547522","33.95","71.541","99.8","60.385","54.43804","50","77.52994","59.40684","71.541","243.01","245.89","1.19",""
"ORRF","Orrstown Financial Services Inc","20731226","-36.35","71.531","99.8","66.68","48.11431","87.176595","92.87968","66.17968","71.531","31.05","34.49","11.08",""
"COOP","Mr. Cooper Group Inc","5427109","29.6","71.528","99.8","58.872","55.91229","50","94.53403","51.75433","71.528","87.64","94.54","7.87",""
"CMAX","CareMax Inc","78256","100","71.511","74.5839","98.519","41.42991","35.76851","40.95031","76.39692","71.511","1.6","6.39","299.38",""
"BPMC","Blueprint Medicines Corp","788960","40.65","71.46","99.8","61.413","53.16679","54.443675","100","57.13397","71.46","116.25","112.19","-3.49",""
"WLYB","John Wiley & Sons B","33772366","100","71.46","77.1632","79.416","57.80068","100","98.68569","68.50195","71.46","48.19","48.19","0",""
"SOI","Solaris Oilfield Infrastructure Inc","20242426","63.8","71.428","93.1722","73.233","47.8778","86.42301","86.63224","68.32194","71.428","12.91","13.12","1.63",""
"CACI","CACI International Inc","295667710","22.05","71.416","99.8","56.531","57.91673","50","100","60.1334","71.416","444.48","449.03","1.02",""
"MGOL","MGO Global Inc. Common Stock","3874024","8.9","71.413","99.7449","76.127","38.36715","67.66889","79.81667","73.07408","71.413","3.78","3.23","-14.55",""
"LII","Lennox International Inc","73334242","97.95","71.364","99.8","56.846","57.44469","100","100","54.85453","71.364","561.58","572.8","2",""
"NBTX","Nanobiotix","740102","34.75","71.349","79.0783","86.639","48.32948","0","0","39.09676","71.349","5.45","5.16","-5.32",""
"ERIE","Erie Indemnity Company","1202761","36.65","71.327","99.8","57.972","56.2099","23.16698","20.90707","47.85739","71.327","379.2","421.38","11.12",""
"AGIO","Agios Pharm","28745000","41","71.321","99.8","66.698","47.46391","74.067085","100","53.89316","71.321","46.86","48.05","2.54",""
"SFM","Sprouts Farmers Market LLC","3699501","26.95","71.321","99.8","56.603","57.55999","50","100","63.79244","71.321","82.27","86.7","5.38",""
"SLDB","Solid Biosciences LLC","14689172","74.65","71.312","88.0607","81.951","43.92412","26.941695","13.84013","49.35608","71.312","8.27","9.29","12.33",""
"VTVT","vTv Therapeutics Inc","51603684","100","71.303","76.4976","90.767","46.64499","24.875125","4.62953","55.82845","71.303","21.16","21.2","0.19",""
"VRRM","Verra Mobility Corp","215049806","59.65","71.302","99.8","56.648","57.45652","69.898265","100","59.115","71.302","30.07","30.39","1.06",""
"CVNA","Carvana Co","218635","100","71.281","99.8","64.048","49.99557","61.997305","100","56.92841","71.281","133.42","132.85","-0.43",""
"MUSA","Murphy USA Inc","22585762","46.45","71.278","99.8","59.333","54.70017","100","100","57.49142","71.278","514.55","510.25","-0.84",""
"ALLY","Ally Financial Inc","8390035","33.55","71.268","99.8","60.097","53.90687","99.64977","99.64813","58.32863","71.268","41.89","43.99","5.01",""
"TRGP","Targa Resources Inc","2400774","30.95","71.259","99.8","57.771","56.20695","100","100","66.51269","71.259","136.15","131.57","-3.36",""
"SYRS","Syros Pharmaceuticals Inc","38104331","36.3","71.234","85.4371","80.462","47.80389","79.10379","91.0158","54.88766","71.234","6.2","6.22","0.32",""
"PHM","PulteGroup Inc","77649008","37.55","71.232","99.8","59.365","54.53067","38.135915","58.17905","53.51113","71.232","124.28","129.99","4.59",""
"AGX","Argan Inc","50155627","51.05","71.228","99.8","58.387","55.49741","50","100","56.64334","71.228","75.94","77.59","2.17",""
"SRNE","Sorrento Therape","14371052","-1185.15","71.225","99.8","73.812","40.06208","89.74727","0","73.39455","71.225","0.0005","0.0095","1800",""
"REVG","Rev Group Inc","238902877","100","71.202","93.6644","65.629","54.31288","50","89.56227","52.16544","71.202","24.83","28.47","14.66",""
"PLSE","Pulse Biosciences Inc","87466325","56.35","71.194","99.8","66.632","47.15053","72.204825","100","60.74038","71.194","15.87","17.07","7.56",""
"VITL","Vital FarmsInc","568948","40","71.176","99.8","61.591","52.13698","50","94.81514","57.13886","71.176","39.5","36.12","-8.56",""
"FTAI","Fortress Transp & Infra Inv","714239","89.6","71.175","99.8","56.429","57.29687","100","100","61.95128","71.175","102.93","112.63","9.42",""
"WKME","Walkme Ltd","8240082","100","71.143","96.4181","68.897","48.1153","98.07371","100","75.82606","71.143","13.85","13.87","0.14",""
"NISN","Nisun International Enterprise Development Group Co Ltd","1993791","33.5","71.128","93.5338","71.577","48.2732","56.704545","51.58792","79.23829","71.128","8.31","11.64","40.07",""
"MOD","Modine Manufacturing Company","348653","100","71.097","97.9983","58.716","56.57551","72.513345","91.53691","53.19187","71.097","109.05","104.15","-4.49",""
"HIMS","Hims Hers Health Inc","106271684","55.25","71.091","99.8","62.248","51.22444","79.6197","100","60.59935","71.091","20.01","21.77","8.8",""
"IBCP","Independent Bank Corporation","259162092","-8.35","71.08","99.8","62.359","51.08056","81.86544","94.28132","70.13711","71.08","31.42","34.29","9.13",""
"SKYW","SkyWest Inc","243264","57.2","71.066","99.8","59.94","53.45652","70.779455","98.74627","51.02129","71.066","82.22","76.74","-6.67",""
"HLI","Houlihan Lokey Inc","228129","41.55","71.063","99.8","57.524","55.86499","68.886055","97.05691","53.01822","71.063","143.94","149.99","4.2",""
"PTGX","Protagonist Therapeutics Inc","1249714","3.25","71.059","99.8","62.143","51.23429","90.338565","100","50.11657","71.059","35.93","40.28","12.11",""
"UTI","Universal Technical Institute Inc","25507011","31.85","71.035","99.8","59.264","54.04188","82.148605","82.62803","62.10022","71.035","18.26","19.43","6.41",""
"ECL","Ecolab Inc","3641181","26.55","71.008","99.8","57.968","55.25597","77.42422","100","58.62814","71.008","244.47","245.24","0.31",""
"MLI","Mueller Industries Inc","582008","34.45","70.983","99.8","58.345","54.80365","51.902385","95.63579","60.81623","70.983","63.26","70.13","10.86",""
"EPAC","Enerpac Tool Group Corp","65641892","47","70.972","99.3599","58.896","54.65878","50.164915","100","53.95182","70.972","40.11","40.77","1.65",""
"JSPR","Jasper Therapeutics Inc","96649327","40.15","70.942","98.0813","64.991","49.75413","15.08784","0.56191","55.88467","70.942","20.23","20.59","1.78",""
