"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"TK","Teekay Corporation","11200765","38.3","69.035","92.938","61.514","52.65336","60.386865","100","65.16158","69.035","9.37","72.164","-4.34","5.86","5.88","0.34",""
"PCVX","Vaxcyte Inc","4568066","-36.7","69.004","95.71","62.274","49.02685","0","8.6787","55.16078","69.004","21.54","68.039","1.42","48.46","50.73","4.68",""
"AXON","Axon Enterprise Inc.","588795411","55.8","68.652","91.9854","56.931","57.04065","81.4592","100","64.27225","68.652","2.38","67.915","1.09","195","193.25","-0.9",""
"PTGX","Protagonist Therapeutics Inc","306488382","90.75","68.589","82.9665","73.417","49.38261","65.403635","100","65.27695","68.589","22.28","69.404","-1.17","25.29","28.2","11.51",""
"AGI","Alamos Gold Inc","17644879","-17.8","68.574","95.0891","57.976","52.65829","90.597205","95.84898","60.41821","68.574","11.09","62.017","10.57","12.42","12.28","-1.13",""
"CXT","Crane NXT Co","1594491","72.9","68.554","89.3867","59.157","57.11752","50","84.23663","64.33913","68.554","12.18","64.021","7.08","52.7","54.89","4.16",""
"UHG","United Homes Group Inc.","11965975","91.05","68.489","75.3646","92.478","37.62306","100","99.39026","62.36569","68.489","41.99","55.189","24.1","11.15","11","-1.35",""
"PI","Impinj Inc","30740064","59.85","68.482","95.3403","56.618","53.48904","73.568905","99.43199","58.65114","68.482","3.85","69.089","-0.88","99.42","103.72","4.33",""
"LMNL","Liminal BioSciences Inc","8985083","1.95","68.444","74.492","91.802","39.03786","50","67.80784","72.68994","68.444","3.25","57.995","18.02","6.93","6.77","-2.31",""
"HNRG","Hallador Energy Company","189010312","50","68.435","89.7854","62.85","52.67012","65.22445","53.82704","52.42373","68.435","10.06","67.973","0.68","8.4","8.38","-0.24",""
"BORR","Borr Drilling Ltd","147920777","24.9","68.429","95.169","60.635","49.48312","50","100","58.97052","68.429","7.17","69.822","-2","7.32","7.49","2.32",""
"XENE","Xenon Pharmaceuticals Inc","26654044","2.9","68.411","82.6894","68.399","54.14339","0","5.60845","53.25673","68.411","14.15","68.232","0.26","40.51","38.96","-3.83",""
"GOTU","Gaotu Techedu Inc DRC","25844137","50","68.233","90.8521","68.911","44.93619","69.204805","74.56991","65.49473","68.233","1.1","71.006","-3.91","2.45","2.79","13.88",""
